,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,7.89,7.87,7.90,7.82,7.86,-0.38,1.01,33010527,259403166.92,2022-06-06,0.11,230708070827.46,230708070827.46,4.30,0.40
1,SHSE.600004,白云机场,12.23,12.23,12.28,12.05,12.24,0.08,1.88,12114799,147322343.95,2022-06-06,0.51,28968631783.92,28968631783.92,-86.78,1.59
2,SHSE.600006,东风汽车,8.23,9.05,9.05,9.05,9.05,9.96,0.00,13948533,126234223.65,2022-06-06,0.70,18100000000.00,18100000000.00,83.30,2.22
3,SHSE.600007,中国国贸,15.02,14.96,15.43,14.84,15.42,2.66,3.93,5354453,81063008.58,2022-06-06,0.53,15532296674.28,15532296674.28,14.74,1.74
4,SHSE.600008,首创环保,2.91,2.91,2.94,2.90,2.93,0.69,1.37,48116822,140492321.40,2022-06-06,0.66,21507930683.61,21507930683.61,9.38,1.26
5,SHSE.600009,上海机场,48.49,48.40,48.89,47.51,48.89,0.82,2.85,11324683,547125347.61,2022-06-06,1.04,53460061049.33,94208998522.72,-52.84,3.49
6,SHSE.600010,包钢股份,2.07,2.05,2.14,2.04,2.13,2.90,4.83,875897264,1832354007.03,2022-06-06,2.77,67472460680.31,97096119540.24,39.42,1.74
7,SHSE.600011,华能国际,7.16,7.09,7.20,6.95,7.12,-0.56,3.49,108699527,767962974.41,2022-06-06,0.99,78303694623.28,111770424716.08,-7.75,1.99
8,SHSE.600012,皖通高速,7.62,7.62,7.78,7.46,7.60,-0.26,4.20,9446611,71659770.78,2022-06-06,0.81,8858560000.00,12605436000.00,8.19,1.07
9,SHSE.600015,华夏银行,5.36,5.35,5.39,5.34,5.39,0.56,0.93,27028195,145014382.26,2022-06-06,0.21,69114281059.67,82937137268.37,3.48,0.34
10,SHSE.600016,民生银行,3.78,3.76,3.80,3.75,3.80,0.53,1.32,57135241,215560592.62,2022-06-06,0.16,134756068209.40,166373190307.60,4.99,0.34
11,SHSE.600017,日照港,3.06,3.09,3.11,3.00,3.10,1.31,3.59,77033653,234662604.00,2022-06-06,2.50,9534527052.80,9534527052.80,12.13,0.72
12,SHSE.600018,上港集团,6.19,6.15,6.22,6.09,6.20,0.16,2.10,40026439,246654183.76,2022-06-06,0.17,143676782830.00,144327814450.00,8.38,1.37
13,SHSE.600019,宝钢股份,6.50,6.50,6.57,6.38,6.55,0.77,2.92,103766837,670128241.00,2022-06-06,0.47,145490915012.35,145858095652.50,6.63,0.75
14,SHSE.600020,中原高速,3.15,3.16,3.16,3.10,3.13,-0.63,1.90,8393627,26153230.92,2022-06-06,0.37,7034273834.16,7034273834.16,13.37,0.66
15,SHSE.600021,上海电力,10.14,10.05,10.19,9.91,10.11,-0.30,2.76,68139068,686291643.90,2022-06-06,2.60,26459530031.67,26459530031.67,-12.84,1.82
16,SHSE.600022,山东钢铁,1.69,1.69,1.71,1.68,1.70,0.59,1.78,134176365,227861527.40,2022-06-06,1.23,18609134347.20,18609134347.20,15.49,0.83
17,SHSE.600023,浙能电力,3.45,3.44,3.45,3.42,3.44,-0.29,0.87,17610904,60467048.68,2022-06-06,0.13,46786373558.72,46786373558.72,-36.52,0.73
18,SHSE.600025,华能水电,6.87,6.85,6.91,6.74,6.89,0.29,2.47,48217590,328529150.99,2022-06-06,0.27,124020000000.00,124020000000.00,20.75,2.38
19,SHSE.600026,中远海能,11.11,11.18,11.69,10.71,11.00,-0.99,8.82,90777741,1017865084.71,2022-06-06,3.16,31603629178.00,52478540345.00,-9.91,1.83
20,SHSE.600027,华电国际,3.84,3.79,3.85,3.72,3.82,-0.52,3.39,76091455,287607067.73,2022-06-06,0.93,31116738462.46,37702858381.30,-6.75,0.95
