,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,7.06,7.04,7.09,7.02,7.07,0.14,0.99,20128163,142035077.23,2022-09-27,0.07,207519865153.23,207519865153.23,0.36,3.89
1,SHSE.600004,白云机场,14.11,14.02,15.08,14.02,14.99,6.24,7.51,37664825,555579801.29,2022-09-27,1.59,35477107062.17,35477107062.17,1.99,-69.15
2,SHSE.600006,东风汽车,5.90,5.89,6.04,5.88,6.00,1.69,2.71,15477101,92180822.79,2022-09-27,0.77,12000000000.00,12000000000.00,1.50,-376.93
3,SHSE.600007,中国国贸,14.43,14.50,14.59,14.10,14.38,-0.35,3.40,2684600,38415767.00,2022-09-27,0.27,14484722838.92,14484722838.92,1.68,13.37
4,SHSE.600008,首创环保,2.63,2.63,2.67,2.62,2.66,1.14,1.90,26465412,69949687.34,2022-09-27,0.36,19525971200.82,19525971200.82,1.16,11.60
5,SHSE.600009,上海机场,59.85,59.33,62.59,59.33,62.43,4.31,5.45,18419205,1133557934.57,2022-09-27,1.68,68265731464.71,155355890056.20,5.92,-69.74
6,SHSE.600010,包钢股份,1.91,1.91,1.93,1.88,1.91,0.00,2.62,211339577,402092523.92,2022-09-27,0.67,60503474131.17,87067412357.68,1.58,167.02
7,SHSE.600011,华能国际,7.94,7.96,8.11,7.83,7.92,-0.25,3.53,36547772,289860842.92,2022-09-27,0.33,87101862558.48,124328899403.28,2.32,-7.01
8,SHSE.600012,皖通高速,6.69,6.69,6.77,6.64,6.75,0.90,1.94,3498711,23510011.89,2022-09-27,0.30,7867800000.00,11195617500.00,1.00,7.91
9,SHSE.600015,华夏银行,5.07,5.07,5.09,5.03,5.09,0.39,1.18,16534308,83705784.57,2022-09-27,0.13,65267475063.77,78320970073.47,0.33,3.25
10,SHSE.600016,民生银行,3.44,3.44,3.45,3.41,3.44,0.00,1.16,50524963,173285790.36,2022-09-27,0.14,121989703852.72,150611519646.88,0.30,4.64
11,SHSE.600017,日照港,2.82,2.82,2.86,2.77,2.84,0.71,3.19,25517289,71962564.72,2022-09-27,0.83,8734857041.92,8734857041.92,0.65,10.50
12,SHSE.600018,上港集团,5.43,5.42,5.55,5.41,5.54,2.03,2.58,26436883,144955771.01,2022-09-27,0.11,128382157561.00,128994161915.00,1.22,7.69
13,SHSE.600019,宝钢股份,5.18,5.18,5.33,5.15,5.32,2.70,3.47,55262948,289692404.88,2022-09-27,0.25,116459645557.08,118467949446.00,0.61,7.25
14,SHSE.600020,中原高速,2.91,2.91,2.95,2.89,2.94,1.03,2.06,7054931,20566559.64,2022-09-27,0.31,6607273186.08,6607273186.08,0.61,15.20
15,SHSE.600021,上海电力,9.90,9.86,9.99,9.50,9.73,-1.72,4.95,69626201,672470543.50,2022-09-27,2.66,25465007636.81,27406915665.85,1.89,-10.27
16,SHSE.600022,山东钢铁,1.51,1.51,1.52,1.49,1.52,0.66,1.99,51820961,78057919.41,2022-09-27,0.47,16638755416.32,16638755416.32,0.74,74.28
17,SHSE.600023,浙能电力,3.16,3.16,3.21,3.14,3.20,1.27,2.22,25636814,81242300.88,2022-09-27,0.19,42907944796.80,42907944796.80,0.67,-14.59
18,SHSE.600025,华能水电,6.98,7.00,7.04,6.87,6.99,0.14,2.44,26125315,181690800.41,2022-09-27,0.15,125820000000.00,125820000000.00,2.42,18.01
19,SHSE.600026,中远海能,18.29,18.40,18.49,17.29,18.36,0.38,6.56,66880621,1195166720.86,2022-09-27,2.33,52749330155.28,87591454612.20,2.98,-16.34
