,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,7.06,7.06,7.07,7.0,7.02,-0.5665722379603388,0.9915014164305991,32453388,228164817.76,2023-03-14,0.1106,206052262673.4,206052262673.4,3.968,0.3521
1,SHSE.600004,白云机场,15.79,15.75,16.16,15.66,15.73,-0.37998733375553817,3.1665611146295127,21919226,348541221.59,2023-03-14,0.9261,37228478591.59,37228478591.59,-68.5751,2.1656
2,SHSE.600006,东风汽车,6.13,6.07,6.08,5.8,5.99,-2.2838499184339223,4.567699836867868,75173188,445820142.57,2023-03-14,3.7587,11980000000.0,11980000000.0,-271.0063,1.4617
3,SHSE.600007,中国国贸,17.32,17.35,17.51,17.21,17.37,0.28868360277136684,1.7321016166281795,1548026,26907886.67,2023-03-14,0.1537,17496497615.58,17496497615.58,15.6631,1.9131
4,SHSE.600008,首创环保,3.01,3.0,3.03,2.98,3.01,0.0,1.6611295681063065,52334164,157168179.26,2023-03-14,0.7129,22095177937.77,22095177937.77,6.1703,1.1801
5,SHSE.600009,上海机场,57.75,57.74,57.85,56.8,57.33,-0.727272727272732,1.8181818181818257,7022214,402786765.44,2023-03-14,0.3644,142664635222.2,110472527823.84,-52.0051,3.602
6,SHSE.600010,包钢股份,1.96,1.96,1.98,1.92,1.94,-1.0204081632653073,3.061224489795921,287304918,559607695.65,2023-03-14,0.907,88434963337.12,61453790478.78,-53.3547,1.6868
7,SHSE.600011,华能国际,8.42,8.37,8.78,8.32,8.59,2.0190023752969077,5.463182897862222,54288431,465404184.16,2023-03-14,0.4936,134846621953.81,94470328204.21,-8.8403,2.9029
8,SHSE.600012,皖通高速,9.04,9.06,9.14,8.91,8.96,-0.8849557522123686,2.5442477876106246,3849902,34690037.02,2023-03-14,0.3303,14861145600.0,10443776000.0,10.2518,1.2462
9,SHSE.600015,华夏银行,5.3,5.28,5.29,5.2,5.26,-0.7547169811320753,1.6981132075471674,30213302,158775643.85,2023-03-14,0.2356,83712523741.68,67447331794.78,3.3438,0.3214
10,SHSE.600016,民生银行,3.4,3.39,3.4,3.37,3.38,-0.588235294117645,0.8823529411764649,60903895,206039060.18,2023-03-14,0.1717,147984574536.76,119861976459.94,4.5294,0.2931
11,SHSE.600017,日照港,2.91,2.91,2.95,2.88,2.91,0.0,2.4054982817869512,27819687,81107294.91,2023-03-14,0.9045,8950152814.08,8950152814.08,10.9246,0.6591
12,SHSE.600018,上港集团,5.45,5.44,5.51,5.41,5.41,-0.7339449541284404,1.8348623853210944,26521391,144762188.39,2023-03-14,0.1144,125967223097.5,125369579856.5,7.3135,1.1214
13,SHSE.600019,宝钢股份,6.57,6.57,6.72,6.51,6.52,-0.7610350076103556,3.1963470319634695,66978696,441340384.74,2023-03-14,0.3059,145149545525.68,142748351775.68,12.6156,0.7458
14,SHSE.600020,中原高速,3.27,3.26,3.28,3.21,3.25,-0.6116207951070374,2.1406727828746126,9315071,30241944.72,2023-03-14,0.4145,7303958454.0,7303958454.0,19.3772,0.7054
15,SHSE.600021,上海电力,10.29,10.23,10.55,10.2,10.38,0.8746355685131268,3.401360544217701,34096245,354289814.12,2023-03-14,1.3028,29237799035.1,27166164364.86,91.1494,1.8148
16,SHSE.600022,山东钢铁,1.58,1.57,1.59,1.55,1.56,-1.2658227848101222,2.531645569620255,67982269,106683754.02,2023-03-14,0.6354,16690205304.24,16690205304.24,-13.0053,0.7642
17,SHSE.600023,浙能电力,3.82,3.82,3.86,3.75,3.78,-1.0471204188481686,2.8795811518324577,30663736,116352771.21,2023-03-14,0.2287,50685009791.22,50685009791.22,-19.0627,0.827
18,SHSE.600025,华能水电,7.21,7.22,7.3,7.18,7.25,0.554785020804438,1.664355062413316,14690800,106610958.0,2023-03-14,0.0816,130500000000.0,130500000000.0,18.8038,2.3838
19,SHSE.600026,中远海能,16.17,15.66,15.85,14.55,14.55,-10.018552875695741,8.03957946815089,96919925,1449599534.57,2023-03-14,3.3734,69414796547.25,41802982230.9,-14.5241,2.1987
20,SHSE.600027,华电国际,5.79,5.76,6.01,5.73,5.95,2.763385146804831,4.835924006908452,64196132,380309637.3,2023-03-14,0.7874,58725656379.25,48508116459.25,-13.8735,1.6328
21,SHSE.600028,中国石化,5.53,5.5,5.61,5.45,5.52,-0.1808318264014619,2.8933092224231487,281365279,1554089762.64,2023-03-14,0.2958,661828170205.92,525037400173.92,9.7559,0.8425
22,SHSE.600029,南方航空,7.95,7.95,8.08,7.89,7.98,0.37735849056603765,2.389937106918244,57356603,457414365.19,2023-03-14,0.5612,144604761315.84,81554755835.7,-6.1349,3.522
23,SHSE.600030,中信证券,20.13,20.03,20.05,19.69,19.86,-1.341281669150518,1.7883755588673593,56896129,1129415982.87,2023-03-14,0.5006,294336060023.94,225742331231.7,13.8073,1.2297
24,SHSE.600031,三一重工,17.93,17.92,17.92,17.27,17.43,-2.788622420524256,3.625209146681551,76972630,1344949875.67,2023-03-14,0.9094,147921474376.41,147531282038.91,48.2847,2.2769
25,SHSE.600032,浙江新能,11.49,11.46,11.58,11.36,11.51,0.17406440382941035,1.9147084421235911,2867580,32898614.68,2023-03-14,1.3786,23940800000.0,2394080000.0,31.4896,2.7753
26,SHSE.600033,福建高速,3.0,2.99,3.01,2.96,2.97,-0.9999999999999898,1.6666666666666607,9264909,27656799.48,2023-03-14,0.3376,8150868000.0,8150868000.0,9.6101,0.7557
27,SHSE.600035,楚天高速,3.6,3.59,3.63,3.56,3.6,0.0,1.94444444444444,16267752,58521488.68,2023-03-14,1.0103,5796417243.6,5796417243.6,7.7482,0.7738
28,SHSE.600036,招商银行,35.05,34.68,34.93,34.34,34.58,-1.3409415121255264,1.6833095577745971,62666750,2168927833.5,2023-03-14,0.3038,872102260882.58,713348898354.82,6.319,1.057
29,SHSE.600037,歌华有线,9.61,9.6,10.3,9.53,10.0,4.058272632674309,8.012486992715935,91288254,902300168.2,2023-03-14,6.5591,13917778840.0,13917778840.0,30.4475,1.0624
30,SHSE.600038,中直股份,46.26,46.1,46.73,45.83,46.47,0.45395590142671693,1.9455252918287906,4888959,226560088.75,2023-03-14,0.8294,27392982992.52,27392982992.52,80.1144,2.8089
31,SHSE.600039,四川路桥,13.4,13.35,13.5,13.32,13.32,-0.5970149253731294,1.3432835820895501,14657439,196447997.03,2023-03-14,0.3091,82922500827.0,63168183105.48,10.167,1.9841
32,SHSE.600048,保利发展,14.12,14.08,14.36,13.95,14.15,0.21246458923513956,2.9036827195467434,50910951,721386984.56,2023-03-14,0.4253,169381774364.7,169381774364.7,9.2322,0.9045
33,SHSE.600050,中国联通,6.05,6.04,6.45,5.99,6.18,2.148760330578514,7.6033057851239665,1136247237,7013810247.2,2023-03-14,3.6698,196551415944.66,191347705770.66,26.9267,1.2732
34,SHSE.600051,宁波联合,7.67,7.65,7.66,7.44,7.47,-2.6075619295958252,2.8683181225554075,4397300,33043362.0,2023-03-14,1.4145,2322273600.0,2322273600.0,9.4143,0.7136
35,SHSE.600052,东望时代,4.84,4.84,4.84,4.7,4.73,-2.2727272727272596,2.892561983471068,3021856,14405260.98,2023-03-14,0.358,3993041124.93,3993041124.93,-103.8185,1.3646
36,SHSE.600053,九鼎投资,15.4,15.25,15.39,14.8,14.93,-3.0519480519480613,3.8311688311688306,2614900,39223710.0,2023-03-14,0.6031,6472764144.0,6472764144.0,59.0289,2.213
37,SHSE.600054,黄山旅游,12.14,12.03,12.11,11.74,11.84,-2.471169686985175,3.0477759472817065,5598050,66650209.0,2023-03-14,1.0906,8635852569.6,6077472000.0,-204.6941,2.115
