,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,7.91,7.92,7.93,7.61,7.63,-3.54,4.05,48962295,379252432.00,2022-03-15,0.17,223957041885.78,223957041885.78,4.06,0.40
1,SHSE.600004,白云机场,11.91,11.79,12.01,11.14,11.23,-5.71,7.30,44088953,509769296.00,2022-03-15,2.13,23238469372.22,26578246318.09,-60.27,1.45
2,SHSE.600006,东风汽车,5.56,5.54,5.55,5.13,5.17,-7.01,7.55,14306803,76613126.00,2022-03-15,0.72,10340000000.00,10340000000.00,17.91,1.29
3,SHSE.600007,中国国贸,13.00,12.95,12.95,12.31,12.32,-5.23,4.92,2948800,37158290.00,2022-03-15,0.29,12409720818.88,12409720818.88,12.55,1.44
4,SHSE.600008,首创环保,3.22,3.19,3.19,3.00,3.00,-6.83,5.90,164605363,510970320.00,2022-03-15,2.24,22021772031.00,22021772031.00,8.97,1.27
5,SHSE.600009,上海机场,47.02,46.80,47.92,45.51,45.72,-2.76,5.13,19764081,918519664.00,2022-03-15,1.81,49993740870.84,88100540242.56,-51.49,3.20
6,SHSE.600010,包钢股份,2.31,2.29,2.29,2.13,2.13,-7.79,6.93,761001984,1680967520.00,2022-03-15,2.40,67472460680.31,97096119540.24,24.17,1.76
7,SHSE.600011,华能国际,7.86,7.60,7.81,7.33,7.37,-6.23,6.11,132171372,1003264720.00,2022-03-15,1.20,81053122103.03,115694948055.83,-30.61,2.04
8,SHSE.600012,皖通高速,7.37,7.32,7.35,7.04,7.06,-4.21,4.21,6891600,49666529.00,2022-03-15,0.59,8229136000.00,11709786600.00,7.67,1.03
9,SHSE.600015,华夏银行,5.37,5.36,5.36,5.15,5.15,-4.10,3.91,55195899,289656320.00,2022-03-15,0.43,66036836262.95,79244203512.45,3.37,0.33
10,SHSE.600016,民生银行,3.74,3.73,3.74,3.57,3.57,-4.55,4.55,145706964,531738736.00,2022-03-15,0.41,126599779870.41,156303234052.14,4.81,0.32
11,SHSE.600017,日照港,2.81,2.79,2.82,2.61,2.62,-6.76,7.47,53653500,145221797.00,2022-03-15,1.74,8058213186.56,8058213186.56,13.25,0.62
12,SHSE.600018,上港集团,5.60,5.57,5.62,5.40,5.42,-3.21,3.93,67110544,369060992.00,2022-03-15,0.29,125601316603.00,126170444245.00,8.59,1.26
13,SHSE.600019,宝钢股份,6.71,6.68,6.68,6.17,6.18,-7.90,7.60,147231485,938617872.00,2022-03-15,0.66,137272344240.66,137618783379.00,5.21,0.72
14,SHSE.600020,中原高速,3.17,3.17,3.19,3.08,3.08,-2.84,3.47,13997302,43617038.00,2022-03-15,0.62,6921905242.56,6921905242.56,7.80,0.65
15,SHSE.600021,上海电力,10.72,10.55,10.63,9.65,9.66,-9.89,9.14,96458950,961234160.00,2022-03-15,3.69,25281806143.02,25281806143.02,362.76,1.75
16,SHSE.600022,山东钢铁,1.71,1.70,1.71,1.60,1.60,-6.43,6.43,207380156,342065632.00,2022-03-15,1.89,17514479385.60,17514479385.60,5.86,0.80
17,SHSE.600023,浙能电力,3.48,3.46,3.47,3.30,3.31,-4.89,4.89,34965750,118001820.00,2022-03-15,0.26,45018283860.28,45018283860.28,14.34,0.70
18,SHSE.600025,华能水电,6.09,6.03,6.04,5.58,5.63,-7.55,7.55,72385942,421132880.00,2022-03-15,0.40,101340000000.00,101340000000.00,17.36,1.97
19,SHSE.600026,中远海能,6.08,6.10,6.13,5.62,5.64,-7.24,8.39,34887253,202777309.00,2022-03-15,1.22,16158445960.32,26861582231.40,-52.89,0.94
20,SHSE.600027,华电国际,3.74,3.68,3.71,3.41,3.41,-8.82,8.02,90756148,323586592.00,2022-03-15,1.11,27776983810.73,33656216513.15,16.94,0.86
21,SHSE.600028,中国石化,4.11,4.10,4.11,3.97,3.98,-3.16,3.41,287309776,1158303520.00,2022-03-15,0.30,380319928763.08,481863414391.08,6.95,0.62
22,SHSE.600029,南方航空,6.21,6.17,6.18,5.90,5.91,-4.83,4.51,57172733,343988096.00,2022-03-15,0.56,60399407628.57,100165311327.03,-10.55,1.48
