,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,10.76,10.82,10.82,10.57,10.59,-1.58,2.32,45686754,486204159.65,2021-04-14,0.16,310839209323.08,310839209323.08,5.33,0.57
1,SHSE.600004,白云机场,12.67,12.61,12.91,12.53,12.83,1.26,3.00,9108746,116330787.76,2021-04-14,0.44,30364995570.89,26549382194.62,557.50,1.62
2,SHSE.600006,东风汽车,6.14,6.18,6.27,6.18,6.23,1.47,1.47,28700776,178320637.25,2021-04-14,1.44,12460000000.00,12460000000.00,22.51,1.54
3,SHSE.600007,中国国贸,12.29,12.30,12.34,12.25,12.28,-0.08,0.73,1015034,12486741.79,2021-04-14,0.10,12369429517.52,12369429517.52,14.99,1.50
4,SHSE.600008,首创环保,3.14,3.11,3.12,3.08,3.10,-1.27,1.27,45610805,141340389.20,2021-04-14,0.62,22755831098.70,22755831098.70,15.48,1.41
5,SHSE.600009,上海机场,56.95,56.70,57.09,56.31,56.57,-0.67,1.37,13288708,750746716.12,2021-04-14,1.22,109008039403.36,61857959778.29,-86.06,3.79
6,SHSE.600010,包钢股份,1.57,1.55,1.60,1.55,1.58,0.64,3.18,552190000,870377393.78,2021-04-14,1.74,72024351583.84,50049994307.46,-203.61,1.34
7,SHSE.600011,华能国际,4.16,4.15,4.17,4.11,4.17,0.24,1.44,20046060,83072303.73,2021-04-14,0.18,65461049307.03,45860450362.23,14.34,0.87
8,SHSE.600012,皖通高速,7.35,7.30,7.42,7.27,7.35,0.00,2.04,5538489,40666815.61,2021-04-14,0.48,12190783500.00,8567160000.00,13.27,1.05
9,SHSE.600015,华夏银行,6.29,6.29,6.30,6.25,6.27,-0.32,0.79,17991857,112832570.10,2021-04-14,0.14,96477894373.41,80398245314.31,4.53,0.43
10,SHSE.600016,民生银行,4.96,4.96,4.97,4.94,4.94,-0.40,0.60,39331710,194902449.54,2021-04-14,0.11,216285147399.88,175182888672.22,6.30,0.46
11,SHSE.600017,日照港,2.83,2.82,2.84,2.81,2.84,0.35,1.06,8379851,23637832.33,2021-04-14,0.27,8734857041.92,8734857041.92,13.66,0.69
12,SHSE.600018,上港集团,4.60,4.61,4.63,4.58,4.62,0.43,1.09,18587188,85569546.20,2021-04-14,0.08,107062376883.00,107062376883.00,12.89,1.19
13,SHSE.600019,宝钢股份,8.21,8.19,8.38,8.12,8.26,0.61,3.17,93934370,776858614.54,2021-04-14,0.42,183938548857.00,183474039389.62,16.33,0.97
14,SHSE.600020,中原高速,3.30,3.29,3.31,3.27,3.30,0.00,1.21,4693674,15445158.31,2021-04-14,0.21,7416327045.60,7416327045.60,28.51,0.71
15,SHSE.600021,上海电力,7.69,7.61,7.65,7.41,7.53,-2.08,3.12,21879500,164024378.38,2021-04-14,0.93,19707246403.41,17674764676.65,22.16,1.18
16,SHSE.600022,山东钢铁,1.76,1.73,1.83,1.72,1.80,2.27,6.25,375898064,666811608.99,2021-04-14,3.43,19703789308.80,19703789308.80,27.27,0.91
17,SHSE.600023,浙能电力,3.75,3.74,3.75,3.69,3.74,-0.27,1.60,37380345,138855910.24,2021-04-14,0.27,50866580555.12,50866580555.12,8.66,0.73
18,SHSE.600025,华能水电,6.20,6.20,6.36,6.11,6.17,-0.48,4.03,85477544,531112810.26,2021-04-14,0.47,111060000000.00,111060000000.00,22.09,2.26
19,SHSE.600026,中远海能,6.45,6.46,6.49,6.37,6.47,0.31,1.86,12142675,78094856.85,2021-04-14,0.42,30814616495.95,18536373291.36,12.99,0.88
20,SHSE.600027,华电国际,3.45,3.47,3.51,3.43,3.48,0.87,2.32,40947844,141906995.57,2021-04-14,0.50,34323158752.44,28347185824.44,8.21,0.71
21,SHSE.600028,中国石化,4.33,4.34,4.36,4.31,4.35,0.46,1.15,82237861,356712750.67,2021-04-14,0.09,526659761960.10,415676304050.10,16.00,0.69
22,SHSE.600029,南方航空,6.70,6.66,6.82,6.64,6.76,0.90,2.69,36630026,247675437.23,2021-04-14,0.45,103626084190.20,54833878113.56,-9.56,1.59
23,SHSE.600030,中信证券,23.37,23.37,23.75,23.35,23.58,0.90,1.71,50417531,1190093272.67,2021-04-14,0.51,304813378763.82,231429722886.00,20.45,1.64
24,SHSE.600031,三一重工,31.32,31.54,31.79,31.27,31.53,0.67,1.66,75766810,2388163151.77,2021-04-14,0.89,267539030458.23,267539030458.23,17.34,4.31
25,SHSE.600033,福建高速,2.68,2.67,2.68,2.65,2.67,-0.37,1.12,3469050,9232258.50,2021-04-14,0.13,7327548000.00,7327548000.00,17.80,0.73
26,SHSE.600035,楚天高速,2.86,2.86,2.87,2.85,2.86,0.00,0.70,2796436,7996598.76,2021-04-14,0.17,4604931476.86,4604931476.86,11.91,0.70
27,SHSE.600036,招商银行,50.32,50.58,50.60,49.28,49.70,-1.23,2.62,55438353,2758186624.94,2021-04-14,0.27,1253426326369.70,1025258538121.30,12.88,1.87
28,SHSE.600037,歌华有线,9.09,9.13,9.30,8.93,9.25,1.76,4.07,13833719,126439205.60,2021-04-14,0.99,12873945427.00,12873945427.00,78.54,1.02
29,SHSE.600038,中直股份,50.61,50.12,51.18,50.03,50.90,0.57,2.27,2298884,116847802.58,2021-04-14,0.39,30004364844.40,30004364844.40,39.60,3.32
30,SHSE.600039,四川路桥,6.57,6.60,6.73,6.57,6.66,1.37,2.44,25569763,169631991.77,2021-04-14,0.71,31818618124.74,24046099896.60,12.34,1.33
31,SHSE.600048,保利发展,14.33,14.33,14.41,14.25,14.34,0.07,1.12,37603869,538429012.82,2021-04-14,0.31,171642533749.92,171642533749.92,5.93,1.06
32,SHSE.600050,中国联通,4.14,4.14,4.17,4.13,4.15,0.24,0.97,44528592,184771555.05,2021-04-14,0.14,128699191141.05,127635923479.80,23.31,0.86
33,SHSE.600051,宁波联合,7.99,7.95,8.02,7.87,7.98,-0.13,1.88,2313642,18380876.16,2021-04-14,0.74,2480822400.00,2480822400.00,7.22,0.83
34,SHSE.600052,东望时代,3.21,3.26,3.39,3.22,3.26,1.56,5.30,16414401,53720350.48,2021-04-14,1.94,2752074855.66,2752074855.66,81.18,0.81
35,SHSE.600053,九鼎投资,17.70,17.50,17.64,17.23,17.36,-1.92,2.32,2300862,40095844.08,2021-04-14,0.53,7526268288.00,7526268288.00,10.80,2.81
36,SHSE.600054,黄山旅游,10.46,10.44,10.98,10.41,10.95,4.68,5.45,11430311,123552491.86,2021-04-14,2.23,7986704868.00,5620635000.00,-182.57,1.89
37,SHSE.600055,万东医疗,12.50,12.45,12.82,12.41,12.78,2.24,3.28,3952095,50066518.44,2021-04-14,0.73,6911631023.22,6911631023.22,30.61,2.96
38,SHSE.600056,中国医药,13.68,13.50,13.50,12.80,12.99,-5.04,5.12,17492866,227671207.66,2021-04-14,1.64,13879627086.66,13874725492.02,11.10,1.36
39,SHSE.600057,厦门象屿,6.47,6.55,6.69,6.48,6.65,2.78,3.25,20201176,133420495.49,2021-04-14,0.95,14347069665.25,14214152670.55,11.04,1.27
40,SHSE.600058,五矿发展,8.27,8.25,8.34,8.15,8.33,0.73,2.30,10059649,83074271.28,2021-04-14,0.94,8929016222.63,8929016222.63,33.23,2.06
41,SHSE.600059,古越龙山,11.30,11.29,11.33,11.02,11.14,-1.42,2.74,13292889,148110557.64,2021-04-14,1.64,9006959198.10,9006959198.10,51.34,2.09
42,SHSE.600060,海信视像,11.63,11.62,11.82,11.60,11.76,1.12,1.89,7047401,82797154.78,2021-04-14,0.54,15387739170.72,15387739170.72,17.75,0.98
43,SHSE.600061,国投资本,12.64,12.65,12.81,12.58,12.79,1.19,1.82,12936248,164416292.10,2021-04-14,0.31,54065252810.23,54065252810.23,13.03,1.25
44,SHSE.600062,华润双鹤,11.49,11.55,11.61,11.49,11.57,0.70,1.04,2375632,27471735.00,2021-04-14,0.23,12070260304.70,12070260304.70,12.01,1.26
45,SHSE.600063,皖维高新,4.26,4.27,4.31,4.23,4.27,0.23,1.88,26199500,111881102.00,2021-04-14,1.36,8223570334.84,8223570334.84,13.45,1.45
46,SHSE.600064,南京高科,9.78,9.75,9.81,9.70,9.74,-0.41,1.12,3138097,30609218.12,2021-04-14,0.25,12038220089.12,12038220089.12,5.50,0.87
47,SHSE.600066,宇通客车,14.19,14.29,14.56,14.19,14.50,2.18,2.61,11725608,169376893.50,2021-04-14,0.53,32102118733.50,32102118733.50,62.21,2.13
48,SHSE.600067,冠城大通,3.36,3.35,3.37,3.35,3.37,0.30,0.60,2999100,10077963.00,2021-04-14,0.20,5028413143.25,5028413143.25,9.01,0.62
49,SHSE.600068,葛洲坝,7.32,7.34,7.42,7.32,7.38,0.82,1.37,26060588,192113261.52,2021-04-14,0.57,33983257300.56,33983257300.56,7.94,1.00
50,SHSE.600070,ST富润,6.21,6.21,6.46,6.17,6.40,3.06,4.67,8039532,51042415.13,2021-04-14,1.54,3340455155.20,3340455155.20,7.03,1.36
51,SHSE.600071,凤凰光学,13.89,13.81,13.99,13.64,13.64,-1.80,2.52,2158100,29715542.00,2021-04-14,0.91,3840667845.96,3239124299.84,505.88,7.48
52,SHSE.600072,中船科技,11.37,11.38,11.54,11.35,11.50,1.14,1.67,4132080,47224712.59,2021-04-14,0.56,8466873654.50,8466873654.50,92.54,2.15
53,SHSE.600073,上海梅林,8.41,8.37,8.39,8.20,8.24,-2.02,2.26,8507951,70109370.22,2021-04-14,0.91,7726890849.28,7726890849.28,19.10,1.78
54,SHSE.600075,新疆天业,7.14,7.15,7.28,7.05,7.23,1.26,3.22,16269629,116719510.40,2021-04-14,1.67,10264631538.51,7031336604.96,309.40,1.40
55,SHSE.600076,康欣新材,4.31,4.36,4.36,4.24,4.33,0.46,2.78,13224500,56833135.00,2021-04-14,1.28,5821872779.11,4478363678.57,-44.31,1.20
56,SHSE.600077,*ST宋都,2.56,2.56,2.60,2.55,2.59,1.17,1.95,2835100,7326117.00,2021-04-14,0.21,3470916824.34,3470916824.34,4.21,0.73
57,SHSE.600078,ST澄星,3.15,3.12,3.17,3.08,3.14,-0.32,2.86,9525794,29761750.28,2021-04-14,1.44,2080478783.54,2080478783.54,296.44,-4.27
58,SHSE.600079,人福医药,32.46,32.48,34.50,32.10,33.96,4.62,7.39,17518624,591174459.27,2021-04-14,1.29,55459121995.68,45971798095.92,78.15,4.60
59,SHSE.600080,金花股份,6.02,6.00,6.05,5.94,6.02,0.00,1.83,521244,3129950.44,2021-04-14,0.14,2247087115.70,2247087115.70,110.10,1.30
60,SHSE.600081,东风科技,10.70,10.72,10.89,10.66,10.86,1.50,2.15,1479701,15983550.75,2021-04-14,0.47,3405261600.00,3405261600.00,34.55,2.32
61,SHSE.600082,海泰发展,2.92,2.92,2.95,2.88,2.93,0.34,2.40,1999000,5842213.00,2021-04-14,0.32,1893119370.18,1858469061.26,-46.32,1.09
62,SHSE.600083,博信股份,6.29,6.29,6.38,6.26,6.28,-0.16,1.91,624000,3925432.00,2021-04-14,0.27,1444400000.00,1431798087.28,-34.65,134.42
63,SHSE.600084,中信尼雅,2.52,2.51,2.57,2.50,2.54,0.79,2.78,2781801,7044691.54,2021-04-14,0.25,2854266148.20,2854266148.20,-121.31,1.32
64,SHSE.600085,同仁堂,28.85,28.88,29.05,28.40,28.90,0.17,2.25,7857983,226652689.78,2021-04-14,0.57,39635490571.80,39635490571.80,38.43,3.90
65,SHSE.600088,中视传媒,11.43,11.28,11.98,11.28,11.74,2.71,6.12,9963363,116697140.84,2021-04-14,2.51,4669073136.00,4669073136.00,-69.66,4.30
66,SHSE.600089,特变电工,10.74,10.71,11.10,10.70,10.98,2.23,3.72,43765199,475391646.24,2021-04-14,1.18,40783154423.22,40783154423.22,21.39,1.17
