,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,9.78,9.75,9.88,9.72,9.84,0.61,1.64,57145173,560579197.66,2021-01-13,0.19,288825066387.12,288825066387.12,0.55,5.22
1,SHSE.600004,白云机场,13.07,13.10,13.71,12.93,13.57,3.83,5.97,24582612,329601999.80,2021-01-13,1.19,32116367100.31,28080679374.98,1.67,589.65
2,SHSE.600006,东风汽车,8.03,8.19,8.35,7.67,7.68,-4.36,8.47,120620497,960683879.98,2021-01-13,6.03,15360000000.00,15360000000.00,1.97,25.57
3,SHSE.600007,中国国贸,12.36,12.33,12.49,12.18,12.42,0.49,2.51,1443708,17798214.77,2021-01-13,0.14,12510449072.28,12510449072.28,1.56,14.79
4,SHSE.600008,首创环保,2.83,2.83,2.89,2.81,2.87,1.41,2.83,63468945,180806409.38,2021-01-13,0.86,21067495242.99,21067495242.99,1.32,15.95
5,SHSE.600009,上海机场,73.72,73.80,77.70,73.73,77.59,5.25,5.39,33058019,2528709327.96,2021-01-13,3.02,149512705980.32,84842833643.23,5.12,501.28
6,SHSE.600010,包钢股份,1.15,1.15,1.16,1.14,1.14,-0.87,1.74,280122720,321505639.30,2021-01-13,0.88,51966937218.72,36112021209.18,0.98,-146.91
7,SHSE.600011,华能国际,4.36,4.33,4.52,4.30,4.50,3.21,5.05,60115992,266649485.26,2021-01-13,0.55,70641420115.50,49489694635.50,0.96,13.02
8,SHSE.600012,皖通高速,5.88,5.86,5.93,5.72,5.86,-0.34,3.57,5605901,32725484.81,2021-01-13,0.48,9719454600.00,6830416000.00,0.86,13.25
9,SHSE.600015,华夏银行,6.16,6.14,6.18,6.06,6.16,0.00,1.95,29985269,183549193.65,2021-01-13,0.23,94785299735.28,78987749782.48,0.43,4.56
10,SHSE.600016,民生银行,5.19,5.19,5.20,5.15,5.19,0.00,0.96,95248233,492817304.24,2021-01-13,0.27,227230752025.38,184048419475.47,0.49,4.98
11,SHSE.600017,日照港,2.80,2.81,2.83,2.77,2.81,0.36,2.14,17263488,48295444.16,2021-01-13,0.56,8642587425.28,8642587425.28,0.69,12.45
12,SHSE.600018,上港集团,4.67,4.63,4.83,4.58,4.76,1.93,5.35,79532908,374049502.97,2021-01-13,0.34,110306691334.00,110306691334.00,1.26,13.28
13,SHSE.600019,宝钢股份,6.35,6.30,6.58,6.22,6.50,2.36,5.67,148898985,958308796.26,2021-01-13,0.67,144751409725.00,144013887062.50,0.79,12.85
14,SHSE.600020,中原高速,3.24,3.24,3.26,3.19,3.25,0.31,2.16,9351885,30120239.81,2021-01-13,0.42,7303958454.00,7303958454.00,0.72,28.08
15,SHSE.600021,上海电力,7.05,7.03,7.12,6.98,7.06,0.14,1.99,8519940,59961205.03,2021-01-13,0.36,18477179230.82,16571558913.30,1.13,14.69
16,SHSE.600022,山东钢铁,1.37,1.36,1.38,1.36,1.38,0.73,1.46,58734107,80412953.51,2021-01-13,0.54,15106238470.08,15106238470.08,0.71,22.30
17,SHSE.600023,浙能电力,3.53,3.53,3.58,3.52,3.58,1.42,1.70,20596550,73136307.18,2021-01-13,0.15,48690470157.04,48690470157.04,0.72,8.29
18,SHSE.600025,华能水电,4.25,4.26,4.34,4.24,4.29,0.94,2.35,32650847,140051682.86,2021-01-13,0.18,77220000000.00,77220000000.00,1.59,15.36
19,SHSE.600026,中远海能,6.93,6.88,7.45,6.88,7.34,5.92,8.23,90259736,653410675.90,2021-01-13,3.30,34958158435.90,20082481199.74,1.01,11.02
20,SHSE.600027,华电国际,3.27,3.29,3.34,3.25,3.33,1.83,2.75,42893885,141628357.64,2021-01-13,0.53,32843712254.49,27125324366.49,0.69,7.26
21,SHSE.600028,中国石化,4.15,4.16,4.25,4.14,4.22,1.69,2.65,228990675,961085593.05,2021-01-13,0.24,510920504706.12,403253793814.12,0.69,13.51
22,SHSE.600029,南方航空,5.74,5.71,5.78,5.66,5.76,0.35,2.09,42356055,242485986.96,2021-01-13,0.52,88296781795.20,46722357682.56,1.27,-9.93
23,SHSE.600030,中信证券,32.03,31.89,31.97,30.80,30.95,-3.37,3.65,355977648,11164422407.35,2021-01-13,3.63,400083718097.55,303763779615.00,2.20,27.85
24,SHSE.600031,三一重工,45.70,45.70,48.90,43.00,44.20,-3.28,12.91,263142564,12046368331.21,2021-01-13,3.10,374749997554.40,374749997554.40,6.63,26.00
25,SHSE.600033,福建高速,2.64,2.64,2.64,2.61,2.63,-0.38,1.14,4236855,11106767.55,2021-01-13,0.15,7217772000.00,7217772000.00,0.73,17.53
26,SHSE.600035,楚天高速,2.83,2.83,2.83,2.78,2.80,-1.06,1.77,7417455,20763529.15,2021-01-13,0.46,4508324522.80,4492315153.20,0.71,11.66
27,SHSE.600036,招商银行,49.70,49.31,49.98,48.88,49.40,-0.60,2.21,64910979,3207741652.95,2021-01-13,0.31,1245860372689.40,1019069854792.60,1.95,13.51
28,SHSE.600037,歌华有线,8.95,8.97,9.34,8.80,9.26,3.46,6.03,20902640,189794709.12,2021-01-13,1.50,12887863205.84,12887863205.84,1.02,49.45
29,SHSE.600038,中直股份,67.85,68.00,68.53,64.20,64.83,-4.45,6.38,15648601,1037040570.70,2021-01-13,2.65,38215775498.28,38215775498.28,4.31,56.70
30,SHSE.600039,四川路桥,4.69,4.68,4.82,4.63,4.79,2.13,4.05,40933917,193936554.17,2021-01-13,1.13,22884561684.31,17294417192.90,1.01,8.87
31,SHSE.600048,保利发展,15.17,15.25,15.68,15.12,15.45,1.85,3.69,120570979,1861224110.03,2021-01-13,1.01,184899662425.95,184899662425.95,1.16,6.53
32,SHSE.600050,中国联通,4.45,4.43,4.68,4.43,4.63,4.04,5.62,408011264,1867773872.60,2021-01-13,1.34,143602207104.81,141387537352.81,0.97,26.35
33,SHSE.600051,宁波联合,8.00,8.07,8.80,8.06,8.70,8.75,9.25,15327586,133144400.74,2021-01-13,4.93,2704656000.00,2704656000.00,0.92,4.44
34,SHSE.600052,东望时代,2.82,2.83,2.83,2.74,2.76,-2.13,3.19,3095102,8568935.49,2021-01-13,0.37,2329977485.16,2329977485.16,0.69,68.73
35,SHSE.600053,九鼎投资,18.06,18.01,18.01,16.66,16.98,-5.98,7.48,4923436,84154567.66,2021-01-13,1.14,7361522784.00,7361522784.00,2.74,10.57
36,SHSE.600054,黄山旅游,8.83,8.77,8.80,8.56,8.71,-1.36,2.72,3348922,29026369.74,2021-01-13,0.65,6352894922.40,4470843000.00,1.49,-145.22
37,SHSE.600055,万东医疗,9.94,9.93,9.93,9.55,9.55,-3.92,3.82,7409405,71491334.35,2021-01-13,1.37,5164794700.45,5164794700.45,2.26,22.87
38,SHSE.600056,中国医药,14.44,14.42,14.78,14.20,14.68,1.66,4.02,16779908,244009998.12,2021-01-13,1.57,15685367639.12,15679828346.64,1.57,12.54
39,SHSE.600057,厦门象屿,5.56,5.56,5.59,5.41,5.45,-1.98,3.24,16990773,93163046.17,2021-01-13,0.79,11758124763.25,11758124763.25,1.07,9.70
40,SHSE.600058,五矿发展,6.46,6.44,6.60,6.41,6.48,0.31,2.94,8177450,53177270.03,2021-01-13,0.76,6945981407.28,6945981407.28,1.64,24.76
41,SHSE.600059,古越龙山,16.70,16.57,16.96,15.50,15.92,-4.67,8.74,62525568,1008267578.83,2021-01-13,7.73,12871704706.80,12871704706.80,3.02,73.37
42,SHSE.600060,海信视像,11.24,11.11,11.51,10.89,11.15,-0.80,5.52,39208975,439592857.91,2021-01-13,3.00,14589565625.30,14589565625.30,0.94,16.83
43,SHSE.600061,国投资本,14.02,13.95,14.15,13.67,13.74,-2.00,3.42,33910330,470779533.29,2021-01-13,0.80,58080762448.98,58080762448.98,1.37,14.29
