,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,8.57,8.57,8.73,8.57,8.71,1.63,1.87,63018297,546456194.37,2022-01-07,0.21,255657383332.26,255657383332.26,0.46,4.64
1,SHSE.600004,白云机场,12.32,12.29,12.62,12.22,12.48,1.30,3.25,14351529,178979198.69,2022-01-07,0.69,25825120014.72,29536644171.84,1.61,-66.97
2,SHSE.600006,东风汽车,6.81,6.81,6.86,6.78,6.78,-0.44,1.17,12787344,87193946.64,2022-01-07,0.64,13560000000.00,13560000000.00,1.69,23.49
3,SHSE.600007,中国国贸,14.27,14.38,14.75,14.33,14.43,1.12,2.94,6162507,89781964.14,2022-01-07,0.61,14535086965.62,14535086965.62,1.68,14.70
4,SHSE.600008,首创环保,3.55,3.53,3.56,3.50,3.52,-0.85,1.69,116262750,410073464.47,2022-01-07,1.58,25838879183.04,25838879183.04,1.49,10.52
5,SHSE.600009,上海机场,49.00,49.00,50.50,48.61,49.99,2.02,3.86,22984897,1147374255.89,2022-01-07,2.10,54662885086.03,96328652815.52,3.50,-54.11
6,SHSE.600010,包钢股份,2.72,2.72,2.82,2.72,2.79,2.57,3.68,1020988160,2852775379.71,2022-01-07,3.22,88379420327.73,127182241087.92,2.30,31.66
7,SHSE.600011,华能国际,8.34,8.33,8.39,7.93,7.99,-4.20,5.52,116730930,946290293.45,2022-01-07,1.06,87871702252.81,125427765938.41,2.21,-33.18
8,SHSE.600012,皖通高速,7.27,7.28,7.38,7.24,7.27,0.00,1.93,4854425,35457190.19,2022-01-07,0.42,8473912000.00,12058094700.00,1.06,7.90
9,SHSE.600015,华夏银行,5.64,5.64,5.73,5.64,5.70,1.06,1.60,37148563,211523315.28,2022-01-07,0.29,73089313922.10,87707176703.10,0.37,3.76
