,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,6.71,6.71,6.71,6.64,6.66,-0.75,1.04,21251911,141624735.14,2022-11-03,0.07,195485476548.96,195485476548.96,3.76,0.34
1,SHSE.600004,白云机场,15.65,15.55,15.90,15.45,15.81,1.02,2.88,24659593,388084088.46,2022-11-03,1.04,37417816054.23,37417816054.23,-68.92,2.12
2,SHSE.600006,东风汽车,5.92,5.85,5.99,5.82,5.85,-1.18,2.87,20674556,121691422.04,2022-11-03,1.03,11700000000.00,11700000000.00,-264.67,1.46
3,SHSE.600007,中国国贸,13.99,13.94,14.10,13.85,13.92,-0.50,1.79,2351723,32813780.53,2022-11-03,0.23,14021372873.28,14021372873.28,12.55,1.58
4,SHSE.600008,首创环保,2.80,2.78,2.84,2.77,2.81,0.36,2.50,49645261,139749642.14,2022-11-03,0.68,20627059802.37,20627059802.37,5.76,1.08
5,SHSE.600009,上海机场,59.77,58.87,59.45,57.82,58.57,-2.01,2.73,15180325,889403590.42,2022-11-03,1.39,64044912572.29,145750352083.80,-53.13,3.59
6,SHSE.600010,包钢股份,1.86,1.84,1.86,1.82,1.82,-2.15,2.15,258891007,475451217.52,2022-11-03,0.82,57652525088.34,82964759419.36,-50.05,1.54
7,SHSE.600011,华能国际,6.73,6.63,6.87,6.60,6.72,-0.15,4.01,85504496,575180429.61,2022-11-03,0.78,73904610655.68,105491187372.48,-6.92,2.05
8,SHSE.600012,皖通高速,6.87,6.84,6.87,6.80,6.85,-0.29,1.02,2937108,20075804.16,2022-11-03,0.25,7984360000.00,11361478500.00,7.84,0.98
9,SHSE.600015,华夏银行,4.85,4.83,4.85,4.81,4.83,-0.41,0.82,14071244,67973494.23,2022-11-03,0.11,61933576533.99,76869104500.44,3.15,0.31
10,SHSE.600016,民生银行,3.37,3.37,3.38,3.36,3.38,0.30,0.59,59771483,201369645.83,2022-11-03,0.17,119861976459.94,147984574536.76,4.53,0.29
11,SHSE.600017,日照港,2.70,2.69,2.70,2.66,2.69,-0.37,1.48,17812942,47738405.14,2022-11-03,0.58,8273508958.72,8273508958.72,10.10,0.61
12,SHSE.600018,上港集团,5.23,5.19,5.21,5.14,5.15,-1.53,1.34,16716586,86376177.58,2022-11-03,0.07,119344424447.50,119913345462.50,6.49,1.08
13,SHSE.600019,宝钢股份,4.89,4.85,4.89,4.83,4.88,-0.20,1.23,38611691,187629530.76,2022-11-03,0.18,106827644796.72,108669848364.00,9.45,0.56
14,SHSE.600020,中原高速,2.67,2.66,2.69,2.66,2.67,0.00,1.12,6621592,17692482.64,2022-11-03,0.29,6000482791.44,6000482791.44,15.92,0.56
15,SHSE.600021,上海电力,9.53,9.41,9.59,9.30,9.44,-0.94,3.04,40150105,378277672.86,2022-11-03,1.53,24706030019.68,26590060008.80,-12.52,1.66
16,SHSE.600022,山东钢铁,1.44,1.43,1.44,1.43,1.43,-0.69,0.69,29298870,41963647.10,2022-11-03,0.27,15653565950.88,15653565950.88,69.89,0.72
17,SHSE.600023,浙能电力,3.38,3.36,3.37,3.34,3.37,-0.30,0.89,8766925,29407324.50,2022-11-03,0.07,45187429364.13,45187429364.13,-17.00,0.71
18,SHSE.600025,华能水电,6.53,6.48,6.49,6.42,6.44,-1.38,1.07,25569458,165006446.27,2022-11-03,0.14,115920000000.00,115920000000.00,16.70,2.15
19,SHSE.600026,中远海能,18.47,18.47,19.05,18.21,18.70,1.25,4.55,68161544,1265965692.71,2022-11-03,2.37,53726169602.60,89213518586.50,-18.67,2.94
20,SHSE.600027,华电国际,4.99,4.93,5.12,4.84,5.03,0.80,5.61,124628103,625159772.95,2022-11-03,1.53,41007701813.45,49645386821.45,-11.73,1.29
21,SHSE.600028,中国石化,4.12,4.10,4.23,4.09,4.20,1.94,3.40,171370861,715178516.10,2022-11-03,0.18,401342638393.20,508270541713.20,7.49,0.65
22,SHSE.600029,南方航空,7.03,6.90,7.15,6.83,6.94,-1.28,4.55,63669485,444142483.31,2022-11-03,0.62,70926010783.20,120182187232.30,-5.10,2.33
23,SHSE.600030,中信证券,17.91,17.85,17.88,17.65,17.73,-1.01,1.28,37755465,670310453.70,2022-11-03,0.33,201531295706.85,262768295278.17,11.93,1.12
24,SHSE.600031,三一重工,15.16,15.00,15.38,14.97,15.21,0.33,2.70,77458352,1179578479.16,2022-11-03,0.91,128842385516.91,129182880379.41,42.17,2.00
25,SHSE.600032,浙江新能,11.73,11.71,11.83,11.67,11.73,0.00,1.36,4219787,49645214.07,2022-11-03,2.03,2439840000.00,24398400000.00,32.09,2.81
26,SHSE.600033,福建高速,2.74,2.74,2.75,2.73,2.73,-0.36,0.73,4116989,11270048.97,2022-11-03,0.15,7492212000.00,7492212000.00,8.83,0.70
27,SHSE.600035,楚天高速,3.11,3.09,3.12,3.08,3.10,-0.32,1.29,6718802,20835949.20,2022-11-03,0.42,4991359293.10,4991359293.10,6.67,0.67
28,SHSE.600036,招商银行,28.42,28.35,28.38,27.88,28.05,-1.30,1.76,50172213,1410971285.05,2022-11-03,0.24,578641891233.45,707416669108.05,5.31,0.89
29,SHSE.600037,歌华有线,8.10,8.05,8.21,8.03,8.16,0.74,2.22,12742522,103739274.25,2022-11-03,0.92,11356907533.44,11356907533.44,24.85,0.87
30,SHSE.600038,中直股份,43.30,42.80,43.59,42.70,43.19,-0.25,2.06,5363603,231557615.40,2022-11-03,0.91,25459499364.04,25459499364.04,74.46,2.70
31,SHSE.600039,四川路桥,11.23,11.12,11.30,11.08,11.17,-0.53,1.96,15292938,170913485.33,2022-11-03,0.32,52631050500.13,53768849040.13,6.59,1.73
