,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,7.26,7.25,7.30,7.24,7.26,0.00,0.83,21866681,159009208.09,2022-09-06,0.07,213096778078.14,213096778078.14,4.00,0.37
1,SHSE.600004,白云机场,13.07,12.99,13.44,12.99,13.43,2.75,3.44,13009974,173092456.89,2022-09-06,0.55,31785026540.69,31785026540.69,-61.96,1.79
2,SHSE.600006,东风汽车,6.21,6.28,6.56,6.28,6.48,4.35,4.51,37341883,240943880.17,2022-09-06,1.87,12960000000.00,12960000000.00,-407.08,1.62
3,SHSE.600007,中国国贸,14.84,14.84,15.25,14.83,15.14,2.02,2.83,4126636,62307809.88,2022-09-06,0.41,15250257564.76,15250257564.76,14.07,1.77
4,SHSE.600008,首创环保,2.81,2.81,2.84,2.80,2.83,0.71,1.42,45529238,128471155.46,2022-09-06,0.62,20773871615.91,20773871615.91,12.34,1.23
5,SHSE.600009,上海机场,55.09,55.54,57.26,54.91,57.09,3.63,4.27,11216531,633799482.17,2022-09-06,1.03,62426567504.73,134783653860.57,-60.50,5.14
6,SHSE.600010,包钢股份,2.03,2.04,2.06,2.03,2.05,0.99,1.48,232859680,476653383.34,2022-09-06,0.74,64938283753.35,93449316928.40,179.26,1.70
7,SHSE.600011,华能国际,8.50,8.49,9.10,8.26,8.89,4.59,9.88,129566040,1139900213.66,2022-09-06,1.18,97769641179.91,139556049961.51,-7.87,2.61
8,SHSE.600012,皖通高速,6.96,6.98,7.08,6.95,7.04,1.15,1.87,5378601,37866360.06,2022-09-06,0.46,8205824000.00,11676614400.00,8.25,1.05
9,SHSE.600015,华夏银行,5.22,5.22,5.24,5.19,5.20,-0.38,0.96,25329620,132093826.68,2022-09-06,0.20,66677970595.60,80013564711.60,3.32,0.33
10,SHSE.600016,民生银行,3.62,3.62,3.64,3.61,3.63,0.28,0.83,62596977,227142906.16,2022-09-06,0.18,128727507263.19,158930179162.26,4.90,0.32
11,SHSE.600017,日照港,3.12,3.14,3.15,3.09,3.13,0.32,1.92,29729999,92759939.84,2022-09-06,0.97,9626796669.44,9626796669.44,11.57,0.72
12,SHSE.600018,上港集团,5.43,5.45,5.51,5.42,5.49,1.10,1.66,41318814,225828458.79,2022-09-06,0.18,127223473828.50,127829954677.50,7.62,1.21
13,SHSE.600019,宝钢股份,5.40,5.42,5.47,5.39,5.43,0.56,1.48,49414279,268165347.53,2022-09-06,0.23,118867645747.17,120917474716.50,7.40,0.62
14,SHSE.600020,中原高速,3.06,3.06,3.09,3.05,3.08,0.65,1.31,9304527,28587977.88,2022-09-06,0.41,6921905242.56,6921905242.56,15.93,0.64
15,SHSE.600021,上海电力,9.94,9.90,10.36,9.75,10.24,3.02,6.14,52693563,532679529.52,2022-09-06,2.01,26799761377.28,28843454924.80,-10.81,1.99
16,SHSE.600022,山东钢铁,1.60,1.61,1.62,1.60,1.62,1.25,1.25,55736650,89912528.49,2022-09-06,0.51,17733410377.92,17733410377.92,79.17,0.79
17,SHSE.600023,浙能电力,3.61,3.61,3.71,3.60,3.69,2.22,3.05,34723417,127192667.34,2022-09-06,0.26,49478223843.81,49478223843.81,-16.83,0.77
18,SHSE.600025,华能水电,7.57,7.57,7.64,7.50,7.59,0.26,1.85,30678972,232314212.13,2022-09-06,0.17,136620000000.00,136620000000.00,19.56,2.63
19,SHSE.600026,中远海能,16.60,16.60,18.08,16.03,17.53,5.60,12.35,88082463,1499629180.09,2022-09-06,3.07,50364692680.94,83631710204.35,-15.60,2.84
20,SHSE.600027,华电国际,5.86,5.86,6.35,5.78,6.31,7.68,9.73,122657256,753653291.13,2022-09-06,1.51,51399638664.43,62278805336.65,-9.31,1.63
21,SHSE.600028,中国石化,4.34,4.35,4.42,4.34,4.41,1.61,1.84,210832546,925514980.82,2022-09-06,0.22,421409770312.86,533924034538.86,7.09,0.68
22,SHSE.600029,南方航空,6.24,6.24,6.49,6.23,6.44,3.21,4.17,43106959,275596461.66,2022-09-06,0.42,65816062459.00,111523523025.60,-5.90,1.99
23,SHSE.600030,中信证券,19.27,19.30,19.50,19.28,19.48,1.09,1.14,59981828,1163733942.90,2022-09-06,0.53,221422991560.60,288704252228.92,13.06,1.26
24,SHSE.600031,三一重工,15.45,15.49,15.77,15.49,15.73,1.81,1.81,48588674,762251262.27,2022-09-06,0.57,133599389110.33,133599389110.33,29.08,2.13
25,SHSE.600032,浙江新能,13.28,13.34,13.57,13.19,13.56,2.11,2.86,7397751,99393654.19,2022-09-06,3.56,2820480000.00,28204800000.00,31.51,3.28
26,SHSE.600033,福建高速,2.94,2.96,2.97,2.93,2.95,0.34,1.36,13913558,41068878.10,2022-09-06,0.51,8095980000.00,8095980000.00,9.62,0.77
27,SHSE.600035,楚天高速,3.58,3.58,3.61,3.56,3.58,0.00,1.40,11448701,40953464.14,2022-09-06,0.71,5764214925.58,5764214925.58,7.86,0.80
28,SHSE.600036,招商银行,34.23,34.32,34.75,33.50,33.62,-1.78,3.65,87756101,2969378343.22,2022-09-06,0.43,693545111702.98,847891209105.62,6.61,1.11
29,SHSE.600037,歌华有线,8.24,8.26,8.28,8.18,8.28,0.49,1.21,7225070,59444260.59,2022-09-06,0.52,11523920879.52,11523920879.52,54.77,0.90
30,SHSE.600038,中直股份,42.83,42.99,45.40,42.84,44.75,4.48,5.98,10032391,446368552.23,2022-09-06,1.70,26379083041.00,26379083041.00,48.18,2.81
31,SHSE.600039,四川路桥,10.95,10.93,11.00,10.75,10.91,-0.37,2.28,20158704,219191563.80,2022-09-06,0.43,51405976808.99,52421937828.99,7.87,1.83
32,SHSE.600048,保利发展,17.22,17.21,17.83,17.11,17.63,2.38,4.18,94606439,1667329698.80,2022-09-06,0.79,211038917459.34,211038917459.34,7.56,1.17
33,SHSE.600050,中国联通,3.56,3.57,3.60,3.55,3.58,0.56,1.40,65566341,234862926.13,2022-09-06,0.21,110845434734.46,110858624528.46,15.71,0.72
34,SHSE.600051,宁波联合,7.86,7.87,7.90,7.72,7.85,-0.13,2.29,8531101,66457975.83,2022-09-06,2.74,2440408000.00,2440408000.00,8.84,0.77
35,SHSE.600052,东望时代,5.50,5.55,5.58,5.47,5.56,1.09,2.00,6243389,34618267.12,2022-09-06,0.74,4693722759.96,4693722759.96,-124.65,1.44
36,SHSE.600053,九鼎投资,16.96,17.09,17.33,16.96,17.29,1.95,2.18,2344109,40167005.30,2022-09-06,0.54,7495920432.00,7495920432.00,64.16,2.62
37,SHSE.600054,黄山旅游,10.31,10.32,10.55,10.22,10.52,2.04,3.20,4439191,46357082.41,2022-09-06,0.86,5399916000.00,7673071708.80,-47.01,1.90
38,SHSE.600055,万东医疗,21.62,21.36,21.59,21.10,21.35,-1.25,2.27,5276872,112491484.28,2022-09-06,0.98,11546425848.65,15010353588.30,94.23,3.35
39,SHSE.600056,中国医药,12.86,12.83,13.19,12.75,13.14,2.18,3.42,30701081,400234004.85,2022-09-06,2.05,19648918420.92,19655859888.72,32.65,1.84
40,SHSE.600057,厦门象屿,9.29,9.32,9.38,9.22,9.35,0.65,1.72,14871182,138235646.32,2022-09-06,0.70,19971149956.45,21075778778.45,8.82,1.62
41,SHSE.600058,五矿发展,9.19,9.18,9.47,9.18,9.45,2.83,3.16,9180315,86161408.06,2022-09-06,0.86,10129556218.95,10129556218.95,18.16,2.05
42,SHSE.600059,古越龙山,9.48,9.50,9.57,9.47,9.57,0.95,1.05,5801808,55239649.68,2022-09-06,0.64,8723460892.41,8723460892.41,43.13,1.62
43,SHSE.600060,海信视像,12.13,12.25,12.38,12.13,12.25,0.99,2.06,8661745,106128792.19,2022-09-06,0.67,15791244969.50,16018739719.50,11.93,0.96
44,SHSE.600061,国投资本,6.54,6.54,6.60,6.52,6.57,0.46,1.22,17591502,115330481.20,2022-09-06,0.27,42214248718.83,42214248718.83,10.64,0.90
45,SHSE.600062,华润双鹤,19.42,19.30,19.55,19.09,19.41,-0.05,2.37,21593798,417254027.28,2022-09-06,2.11,19907505668.10,20249243951.10,18.79,2.05
46,SHSE.600063,皖维高新,8.35,8.38,8.61,8.30,8.56,2.51,3.71,58880041,500921455.40,2022-09-06,3.06,16485658563.52,16485658563.52,11.27,2.37
47,SHSE.600064,南京高科,7.08,7.09,7.20,7.08,7.18,1.41,1.69,18692536,133991010.64,2022-09-06,1.08,12423838643.92,12423838643.92,5.35,0.79
48,SHSE.600066,宇通客车,7.60,7.60,7.79,7.60,7.68,1.05,2.50,13437914,103582065.02,2022-09-06,0.61,17003053232.64,17003053232.64,42.13,1.25
49,SHSE.600067,冠城大通,3.80,3.81,3.88,3.81,3.86,1.58,1.84,25611400,98638006.89,2022-09-06,1.84,5371841332.54,5371841332.54,-5.64,0.76
50,SHSE.600070,ST富润,5.99,6.01,6.03,5.86,5.92,-1.17,2.84,4421409,26136160.92,2022-09-06,0.87,2999786733.44,3055169706.88,-4.71,1.91
51,SHSE.600071,凤凰光学,20.14,20.16,20.55,20.00,20.45,1.54,2.73,4890018,99260838.70,2022-09-06,1.74,5758186030.05,5758186030.05,-1128.90,11.19
52,SHSE.600072,中船科技,13.95,13.99,14.55,13.82,14.20,1.79,5.23,25172325,358228123.56,2022-09-06,3.42,10454748338.60,10454748338.60,216.20,2.64
53,SHSE.600073,上海梅林,7.79,7.80,7.85,7.75,7.84,0.64,1.28,10219022,79749623.10,2022-09-06,1.09,7351799060.48,7351799060.48,22.06,1.60
54,SHSE.600075,新疆天业,6.23,6.26,6.44,6.23,6.41,2.89,3.37,29260226,186562636.53,2022-09-06,2.31,8132873466.92,10944140806.60,8.51,1.08
55,SHSE.600076,康欣新材,3.27,3.27,3.30,3.26,3.29,0.61,1.22,4053900,13312845.00,2022-09-06,0.39,3402728984.41,4423547677.43,-34.57,0.93
56,SHSE.600077,*ST宋都,3.57,3.55,3.73,3.48,3.67,2.80,7.00,66713064,241297542.96,2022-09-06,4.98,4918248936.42,4918248936.42,-9.91,1.13
57,SHSE.600078,ST澄星,14.29,14.08,14.53,13.90,14.33,0.28,4.41,16980614,241904245.52,2022-09-06,2.56,9494669098.13,9494669098.13,3.62,4.62
58,SHSE.600079,人福医药,18.26,18.40,18.95,18.22,18.84,3.18,4.00,26188064,487932825.10,2022-09-06,1.88,26286931921.80,30767074746.72,18.88,2.16
59,SHSE.600080,金花股份,8.07,8.15,8.19,8.00,8.07,0.00,2.35,4330701,34894243.06,2022-09-06,1.16,3012291199.95,3012291199.95,-222.20,1.80
60,SHSE.600081,东风科技,11.03,11.10,11.29,11.04,11.28,2.27,2.27,2148646,24121576.53,2022-09-06,0.69,3536956800.00,5306325248.40,26.90,1.66
61,SHSE.600082,海泰发展,3.46,3.46,3.57,3.44,3.52,1.73,3.76,22111211,77621651.96,2022-09-06,3.49,2232860650.24,2274327707.52,124.32,1.32
62,SHSE.600083,博信股份,9.15,9.20,9.20,9.05,9.14,-0.11,1.64,985400,8980714.00,2022-09-06,0.43,2083858999.64,2102200000.00,32.04,29.52
63,SHSE.600084,中信尼雅,7.04,7.04,7.16,7.01,7.11,0.99,2.13,5336400,37864229.00,2022-09-06,0.47,7989697761.30,7989697761.30,1343.42,3.70
64,SHSE.600085,同仁堂,44.09,44.28,45.32,44.01,45.16,2.43,2.97,7791003,350212914.26,2022-09-06,0.57,61935597031.92,61935597031.92,47.32,5.61
65,SHSE.600088,中视传媒,9.15,9.18,9.21,9.08,9.13,-0.22,1.42,2388983,21830484.80,2022-09-06,0.60,3631059432.00,3631059432.00,-101.72,3.53
66,SHSE.600089,特变电工,24.39,24.41,25.56,24.37,25.50,4.55,4.88,94623017,2379249290.42,2022-09-06,2.50,96665228869.50,96665228869.50,8.75,2.15
67,SHSE.600094,大名城,3.46,3.48,3.52,3.45,3.50,1.16,2.02,12487176,43620304.24,2022-09-06,0.55,7968117367.00,8663637699.50,-13.90,0.70
68,SHSE.600095,湘财股份,7.26,7.28,7.79,7.27,7.58,4.41,7.16,39615039,300124259.29,2022-09-06,3.51,8562448734.58,21640584808.44,110.32,1.78
69,SHSE.600096,云天化,25.03,25.40,26.67,25.21,26.38,5.39,5.83,90680709,2375990965.41,2022-09-06,5.29,45230043126.46,48430863697.58,8.75,3.50
70,SHSE.600097,开创国际,10.13,10.13,10.19,10.04,10.09,-0.39,1.48,1935601,19550145.07,2022-09-06,0.80,2431049880.31,2431049880.31,30.87,1.23
71,SHSE.600098,广州发展,6.00,6.06,6.07,5.96,6.05,0.83,1.83,28334583,170841126.63,2022-09-06,0.88,19401113010.95,21441535926.25,83.88,0.91
72,SHSE.600099,林海股份,8.85,8.85,9.00,8.85,8.95,1.13,1.69,2738700,24476276.00,2022-09-06,1.25,1961124000.00,1961124000.00,175.88,3.91
73,SHSE.600100,同方股份,4.64,4.65,4.72,4.63,4.72,1.72,1.94,25578796,120064480.50,2022-09-06,0.86,13989603048.72,15813405205.36,-9.03,1.01
74,SHSE.600101,明星电力,9.08,9.19,9.54,9.15,9.50,4.63,4.30,19736930,184464644.50,2022-09-06,4.68,4003610365.00,4003610365.00,28.49,1.55
75,SHSE.600103,青山纸业,2.53,2.53,2.55,2.52,2.55,0.79,1.19,19372360,49236385.80,2022-09-06,0.84,5879835407.85,5879835407.85,28.29,1.55
76,SHSE.600104,上汽集团,15.21,15.31,15.46,15.29,15.42,1.38,1.12,20930633,322447209.02,2022-09-06,0.18,180158974248.30,180158974248.30,9.94,0.65
77,SHSE.600105,永鼎股份,3.90,3.89,3.95,3.86,3.94,1.03,2.31,16683043,65253139.99,2022-09-06,1.21,5440812215.64,5529759449.24,232.98,2.01
78,SHSE.600106,重庆路桥,5.47,5.48,5.51,5.20,5.49,0.37,5.67,25581790,137859625.20,2022-09-06,1.92,7296347590.38,7296347590.38,29.63,1.62
79,SHSE.600107,美尔雅,7.30,7.33,7.35,7.18,7.35,0.68,2.33,7268362,52873051.38,2022-09-06,2.02,2646000000.00,2646000000.00,179.23,3.52
80,SHSE.600108,亚盛集团,3.65,3.65,3.71,3.59,3.70,1.37,3.29,66193725,241886007.85,2022-09-06,3.40,7203585947.70,7203585947.70,109.47,1.78
81,SHSE.600109,国金证券,8.57,8.60,8.65,8.57,8.65,0.93,0.93,17112591,147489285.52,2022-09-06,0.57,26160708031.50,32215708031.50,17.47,1.06
82,SHSE.600110,诺德股份,9.23,9.27,9.44,9.21,9.44,2.28,2.49,27270420,254911138.83,2022-09-06,1.94,13251900574.88,16461500574.88,40.47,2.63
83,SHSE.600111,北方稀土,30.08,30.13,30.95,30.10,30.85,2.56,2.83,45433029,1391040140.32,2022-09-06,1.25,112080086100.00,112080086100.00,18.02,6.61
84,SHSE.600112,ST天成,3.76,3.78,3.88,3.67,3.82,1.60,5.59,9116463,34634884.14,2022-09-06,1.79,1945162511.72,1945162511.72,9.50,13.51
85,SHSE.600113,浙江东日,7.57,7.50,7.67,7.44,7.64,0.92,3.04,19409990,146953105.06,2022-09-06,4.72,3143334062.40,3143334062.40,4.71,1.51
86,SHSE.600114,东睦股份,9.50,9.60,9.93,9.49,9.79,3.05,4.63,9140681,88916273.95,2022-09-06,1.48,6034394239.83,6034394239.83,455.67,2.49
87,SHSE.600115,中国东航,4.79,4.81,4.98,4.80,4.91,2.51,3.76,36942788,181486883.53,2022-09-06,0.33,55005411301.66,92673500782.98,-3.60,2.83
88,SHSE.600116,三峡水利,10.02,10.05,10.73,9.90,10.63,6.09,8.28,31761188,330357169.15,2022-09-06,2.02,16754460075.09,20326079069.52,28.45,1.86
89,SHSE.600117,*ST西钢,3.58,3.60,3.61,3.54,3.58,0.00,1.96,3789600,13572034.87,2022-09-06,0.36,3741523342.16,3741523342.16,-2.55,-29.77
90,SHSE.600118,中国卫星,22.22,22.00,22.59,21.81,22.42,0.90,3.51,26200095,583374323.64,2022-09-06,2.22,26511406406.70,26511406406.70,86.70,4.29
91,SHSE.600119,长江投资,6.68,6.69,6.78,6.65,6.76,1.20,1.95,4014901,27007074.75,2022-09-06,1.31,2078024000.00,2469227701.20,-16.81,11.77
92,SHSE.600120,浙江东方,4.03,4.04,4.08,4.03,4.06,0.74,1.24,19226310,77937125.08,2022-09-06,0.66,11759071871.26,13866448857.52,26.75,1.09
93,SHSE.600121,郑州煤电,6.37,6.37,6.60,6.21,6.45,1.26,6.12,115627460,745662524.32,2022-09-06,9.49,7858757645.10,7858757645.10,-43.40,4.42
94,SHSE.600122,*ST宏图,1.95,1.94,1.97,1.94,1.95,0.00,1.54,6265800,12230971.00,2022-09-06,0.54,2258603782.50,2258603782.50,-14.38,46.17
95,SHSE.600123,兰花科创,15.58,15.60,16.28,15.41,16.18,3.85,5.58,61923812,985884437.59,2022-09-06,5.42,18484032000.00,18484032000.00,5.07,1.29
96,SHSE.600125,铁龙物流,5.46,5.47,5.50,5.42,5.48,0.37,1.47,26503418,144636007.43,2022-09-06,2.03,7154259869.52,7154259869.52,18.67,1.09
97,SHSE.600126,杭钢股份,4.49,4.49,4.51,4.47,4.49,0.00,0.89,12434341,55840212.16,2022-09-06,0.37,15163578982.67,15163578982.67,9.04,0.75
98,SHSE.600127,金健米业,8.98,9.03,9.15,8.93,9.10,1.34,2.45,32121069,290560193.06,2022-09-06,5.00,5840227283.80,5840227283.80,-108.13,8.38
99,SHSE.600128,苏豪弘业,9.13,9.17,9.21,9.02,9.04,-0.99,2.08,6041000,54896879.00,2022-09-06,2.45,2230778200.00,2230778200.00,56.81,1.08
100,SHSE.600129,太极集团,25.90,25.91,26.26,25.46,26.15,0.97,3.09,3504167,90842060.98,2022-09-06,0.63,14562692955.60,14562692955.60,-30.60,5.11
101,SHSE.600130,波导股份,5.40,4.99,5.39,4.98,5.04,-6.67,7.59,202667731,1037839846.19,2022-09-06,26.39,3870720000.00,3870720000.00,176.87,3.91
102,SHSE.600131,国网信通,13.71,13.83,14.09,13.63,13.99,2.04,3.36,7842574,109013996.19,2022-09-06,1.45,7557599204.18,16723569670.56,24.21,3.24
103,SHSE.600132,重庆啤酒,102.75,103.99,104.95,102.85,104.15,1.36,2.04,3172319,329461817.83,2022-09-06,0.66,50405600271.70,50405600271.70,39.64,33.22
