,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,9.98,9.99,10.07,9.93,9.97,-0.10,1.40,53622907,536180004.03,2021-01-21,0.18,292640844703.21,292640844703.21,0.56,5.29
1,SHSE.600004,白云机场,13.06,13.02,13.35,12.86,13.26,1.53,3.75,26455710,347714141.77,2021-01-21,1.28,27439190015.64,31382684432.58,1.63,576.18
2,SHSE.600006,东风汽车,7.45,7.38,7.54,7.11,7.51,0.81,5.77,107870040,796305046.76,2021-01-21,5.39,15020000000.00,15020000000.00,1.92,25.01
3,SHSE.600007,中国国贸,12.58,12.58,12.59,12.42,12.48,-0.79,1.35,886790,11055428.27,2021-01-21,0.09,12570886024.32,12570886024.32,1.57,14.86
4,SHSE.600008,首创环保,2.89,2.88,2.90,2.87,2.88,-0.35,1.04,35486664,102266138.31,2021-01-21,0.48,21140901149.76,21140901149.76,1.33,16.00
5,SHSE.600009,上海机场,70.80,70.00,71.30,69.80,70.92,0.17,2.12,17109050,1207497502.89,2021-01-21,1.56,77549346075.24,136659893132.16,4.68,458.19
6,SHSE.600010,包钢股份,1.20,1.19,1.28,1.18,1.24,3.33,8.33,1528978464,1890069370.37,2021-01-21,4.83,39279742367.88,56525440483.52,1.07,-159.79
7,SHSE.600011,华能国际,4.51,4.49,4.50,4.44,4.44,-1.55,1.33,34047542,151945920.45,2021-01-21,0.31,48829832040.36,69699534513.96,0.95,12.84
8,SHSE.600012,皖通高速,5.91,5.90,5.97,5.82,5.86,-0.85,2.54,6014918,35309691.87,2021-01-21,0.52,6830416000.00,9719454600.00,0.86,13.25
9,SHSE.600015,华夏银行,6.24,6.25,6.27,6.21,6.23,-0.16,0.96,25585443,159658261.59,2021-01-21,0.20,79885337848.19,95862405414.09,0.43,4.61
10,SHSE.600016,民生银行,5.22,5.22,5.25,5.20,5.21,-0.19,0.96,81555115,425924285.09,2021-01-21,0.23,184757661939.73,228106400395.42,0.50,5.00
11,SHSE.600017,日照港,2.84,2.83,2.88,2.83,2.88,1.41,1.76,17409714,49629301.18,2021-01-21,0.57,8857883197.44,8857883197.44,0.71,12.76
12,SHSE.600018,上港集团,4.68,4.66,4.70,4.61,4.68,0.00,1.92,39447620,184055886.77,2021-01-21,0.17,108452797362.00,108452797362.00,1.24,13.06
13,SHSE.600019,宝钢股份,6.82,6.75,6.84,6.66,6.81,-0.15,2.64,202989395,1369453613.32,2021-01-21,0.91,151266126905.97,151654938496.50,0.82,13.46
14,SHSE.600020,中原高速,3.26,3.27,3.28,3.24,3.25,-0.31,1.23,5145161,16728674.05,2021-01-21,0.23,7303958454.00,7303958454.00,0.72,28.08
15,SHSE.600021,上海电力,7.07,7.06,7.10,7.04,7.05,-0.28,0.85,4580548,32342717.60,2021-01-21,0.20,16548086450.25,18451007588.85,1.12,14.67
16,SHSE.600022,山东钢铁,1.40,1.39,1.42,1.37,1.40,0.00,3.57,124602867,174237365.26,2021-01-21,1.14,15325169462.40,15325169462.40,0.73,22.62
17,SHSE.600023,浙能电力,3.59,3.59,3.60,3.57,3.58,-0.28,0.84,12924078,46335674.76,2021-01-21,0.10,48690470157.04,48690470157.04,0.72,8.29
18,SHSE.600025,华能水电,4.30,4.29,4.38,4.28,4.37,1.63,2.33,29061056,126235336.62,2021-01-21,0.16,78660000000.00,78660000000.00,1.62,15.65
19,SHSE.600026,中远海能,7.04,7.06,7.11,6.93,7.09,0.71,2.56,29522419,207731562.94,2021-01-21,1.08,19398472984.49,33767485464.65,0.98,10.64
20,SHSE.600027,华电国际,3.32,3.32,3.33,3.28,3.30,-0.60,1.51,34513440,114018285.16,2021-01-21,0.42,26880952074.90,32547822954.90,0.69,7.19
21,SHSE.600028,中国石化,4.16,4.15,4.19,4.13,4.16,0.00,1.44,105716400,439944752.97,2021-01-21,0.11,397520327551.36,503656232127.36,0.68,13.32
22,SHSE.600029,南方航空,5.74,5.70,5.72,5.65,5.68,-1.05,1.22,35306839,200634113.52,2021-01-21,0.44,46073436048.08,87070437603.60,1.26,-9.79
23,SHSE.600030,中信证券,31.10,31.22,31.79,30.66,31.17,0.23,3.63,239859806,7486003625.67,2021-01-21,2.44,305923005189.00,402927608823.93,2.22,28.04
24,SHSE.600031,三一重工,39.85,40.42,41.80,40.42,41.80,4.89,3.46,137948813,5684796514.21,2021-01-21,1.63,354401581397.60,354401581397.60,6.27,24.59
25,SHSE.600033,福建高速,2.62,2.62,2.63,2.62,2.63,0.38,0.38,2364366,6197757.92,2021-01-21,0.09,7217772000.00,7217772000.00,0.73,17.53
26,SHSE.600035,楚天高速,2.83,2.84,2.84,2.82,2.82,-0.35,0.71,3611900,10226535.00,2021-01-21,0.23,4524403118.58,4540526840.82,0.71,11.74
27,SHSE.600036,招商银行,51.72,52.97,53.50,52.15,52.64,1.78,2.61,73671459,3886756921.71,2021-01-21,0.36,1085907634742.56,1327572672436.64,2.08,13.64
28,SHSE.600037,歌华有线,9.19,9.17,9.26,9.10,9.14,-0.54,1.74,10902700,99996341.00,2021-01-21,0.78,12720849859.76,12720849859.76,1.00,48.81
29,SHSE.600038,中直股份,62.93,62.60,63.64,62.23,62.73,-0.32,2.24,8070033,508054507.00,2021-01-21,1.37,36977874394.68,36977874394.68,4.17,54.86
30,SHSE.600039,四川路桥,4.64,4.62,4.67,4.60,4.62,-0.43,1.51,20461522,94759694.08,2021-01-21,0.57,16680627856.20,22072374735.18,0.98,8.56
31,SHSE.600048,保利发展,15.68,15.60,15.66,15.23,15.32,-2.30,2.74,134581587,2071155402.32,2021-01-21,1.12,183343872386.12,183343872386.12,1.15,6.33
32,SHSE.600050,中国联通,4.46,4.48,4.49,4.41,4.43,-0.67,1.79,163923037,726768874.95,2021-01-21,0.54,135280084335.41,137399088007.41,0.93,25.21
33,SHSE.600051,宁波联合,8.34,8.31,8.38,8.30,8.34,0.00,0.96,2381415,19890480.30,2021-01-21,0.77,2592739200.00,2592739200.00,0.88,4.26
34,SHSE.600052,东望时代,2.94,2.94,2.96,2.92,2.92,-0.68,1.36,2442300,7173526.00,2021-01-21,0.29,2465048643.72,2465048643.72,0.73,72.71
35,SHSE.600053,九鼎投资,19.18,19.21,19.72,19.03,19.37,0.99,3.60,4941603,95640872.22,2021-01-21,1.14,8397685296.00,8397685296.00,3.13,12.05
36,SHSE.600054,黄山旅游,9.11,9.07,9.13,8.90,8.92,-2.09,2.52,3759575,33874905.13,2021-01-21,0.73,4578636000.00,6506064604.80,1.53,-148.72
37,SHSE.600055,万东医疗,10.18,10.28,10.28,10.14,10.26,0.79,1.38,4301607,43979946.39,2021-01-21,0.80,5548774201.74,5548774201.74,2.43,24.57
38,SHSE.600056,中国医药,14.33,14.37,14.50,14.35,14.44,0.77,1.05,7542641,108824057.86,2021-01-21,0.71,15423482379.12,15428931110.96,1.54,12.34
39,SHSE.600057,厦门象屿,5.65,5.69,5.69,5.60,5.64,-0.18,1.59,9025717,50899777.24,2021-01-21,0.42,12168041039.40,12168041039.40,1.11,10.04
40,SHSE.600058,五矿发展,6.64,6.61,7.30,6.60,7.30,9.94,10.54,33538956,240256780.09,2021-01-21,3.13,7824948190.30,7824948190.30,1.84,27.89
41,SHSE.600059,古越龙山,14.15,14.10,15.07,13.73,14.48,2.33,9.47,65131173,931500961.69,2021-01-21,8.06,11707429909.20,11707429909.20,2.75,66.73
42,SHSE.600060,海信视像,11.73,11.77,12.24,11.77,12.17,3.75,4.01,33889294,408252076.49,2021-01-21,2.59,15924216471.74,15924216471.74,1.02,18.37
43,SHSE.600061,国投资本,13.86,13.90,14.33,13.81,14.06,1.44,3.75,38415043,540407763.38,2021-01-21,0.91,59433443961.62,59433443961.62,1.40,14.62
44,SHSE.600062,华润双鹤,11.94,11.94,12.16,11.94,12.04,0.84,1.84,6120908,73765619.75,2021-01-21,0.59,12560582028.40,12560582028.40,1.35,12.44
45,SHSE.600063,皖维高新,3.87,3.87,3.89,3.79,3.81,-1.55,2.58,29329500,112639873.00,2021-01-21,1.52,7337658776.52,7337658776.52,1.29,16.39
46,SHSE.600064,南京高科,10.25,10.23,10.28,10.17,10.18,-0.68,1.07,6813092,69643110.32,2021-01-21,0.55,12582041119.84,12582041119.84,0.95,5.75
47,SHSE.600066,宇通客车,14.61,14.59,14.59,14.20,14.40,-1.44,2.67,21050796,302412247.50,2021-01-21,0.95,31880724811.20,31880724811.20,2.08,41.43
48,SHSE.600067,冠城大通,3.58,3.59,3.60,3.51,3.55,-0.84,2.51,6746265,23966232.10,2021-01-21,0.45,5296993073.75,5296993073.75,0.66,9.49
49,SHSE.600068,葛洲坝,6.63,6.61,6.63,6.58,6.60,-0.45,0.75,21527365,142156630.22,2021-01-21,0.47,30391530919.20,30391530919.20,0.90,6.39
50,SHSE.600070,ST富润,8.11,8.25,8.38,8.13,8.28,2.10,3.08,11113890,91691383.91,2021-01-21,2.13,4321713857.04,4321713857.04,1.81,9.10
51,SHSE.600071,凤凰光学,16.79,16.46,16.98,16.40,16.42,-2.20,3.45,8891027,148042350.73,2021-01-21,3.74,3899297727.52,4623443257.38,9.06,608.99
52,SHSE.600072,中船科技,13.26,13.27,13.54,13.08,13.40,1.06,3.47,16917207,225608902.92,2021-01-21,2.30,9865748432.20,9865748432.20,2.51,107.83
53,SHSE.600073,上海梅林,9.73,9.72,9.99,9.68,9.95,2.26,3.19,18539127,183445831.03,2021-01-21,1.98,9330408246.40,9330408246.40,2.16,22.29
54,SHSE.600075,新疆天业,5.83,5.85,5.96,5.80,5.85,0.34,2.74,12702568,74855038.12,2021-01-21,1.31,5689255759.20,8305407261.45,1.21,250.34
55,SHSE.600076,康欣新材,3.41,3.41,3.42,3.36,3.39,-0.59,1.76,5845016,19822425.24,2021-01-21,0.57,3506155397.31,3506155397.31,0.89,-26.69
56,SHSE.600077,*ST宋都,2.77,2.76,2.80,2.73,2.78,0.36,2.53,8301700,23057942.00,2021-01-21,0.62,3725540066.28,3725540066.28,0.79,4.52
57,SHSE.600078,ST澄星,3.57,3.58,3.64,3.54,3.60,0.84,2.80,5298301,19046741.61,2021-01-21,0.80,2385262299.60,2385262299.60,-5.01,339.87
58,SHSE.600079,人福医药,30.22,30.00,32.86,29.98,31.15,3.08,9.53,37478675,1189194709.14,2021-01-21,2.77,42167889007.30,48096369809.95,4.47,67.78
59,SHSE.600080,金花股份,5.50,5.50,5.56,5.46,5.54,0.73,1.82,823732,4551192.04,2021-01-21,0.27,1691339130.88,2067917378.90,1.20,101.32
60,SHSE.600081,东风科技,13.78,13.66,13.77,13.21,13.52,-1.89,4.06,11890638,159840535.79,2021-01-21,3.79,4239331200.00,4239331200.00,2.97,31.11
61,SHSE.600082,海泰发展,2.76,2.75,2.82,2.74,2.78,0.72,2.90,3503481,9738316.94,2021-01-21,0.55,1763325593.96,1796201996.28,1.03,-43.95
62,SHSE.600083,博信股份,5.58,5.68,5.68,5.50,5.53,-0.90,3.23,842400,4681949.00,2021-01-21,0.37,1260803092.78,1271900000.00,125.54,-30.52
63,SHSE.600084,中信尼雅,2.23,2.21,2.27,2.20,2.25,0.90,3.14,4124290,9219916.60,2021-01-21,0.37,2528385367.50,2528385367.50,1.18,-107.46
