,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,7.48,7.47,7.65,7.47,7.6,1.6042780748662944,2.406417112299473,38841289,294352873.0,2023-04-28,0.1323,223076528168.4,223076528168.4,0.3711,4.3594
1,SHSE.600004,白云机场,15.64,15.76,15.76,15.4,15.68,0.2557544757033181,2.3017902813299194,12704986,198056424.89,2023-04-28,0.5368,37110142677.44,37110142677.44,2.1534,-39.3209
2,SHSE.600006,东风汽车,5.53,5.53,5.86,5.52,5.76,4.159132007233257,6.148282097649199,28728869,163616347.16,2023-04-28,1.4364,11520000000.0,11520000000.0,1.3893,40.4091
3,SHSE.600007,中国国贸,18.47,18.45,18.64,18.05,18.54,0.37899296155927686,3.1943692474282614,2672200,49174877.9,2023-04-28,0.2653,18675018180.36,18675018180.36,1.9731,16.7358
4,SHSE.600008,首创环保,2.97,2.96,3.0,2.95,3.0,1.0101010101009944,1.6835016835016776,55323985,164887903.2,2023-04-28,0.7537,22021772031.0,22021772031.0,1.1576,6.9601
5,SHSE.600009,上海机场,52.88,53.0,53.7,52.53,53.7,1.550680786686831,2.2125567322239066,9641185,513025332.07,2023-04-28,0.5003,133631447958.0,103477668657.6,3.3824,-44.6189
6,SHSE.600010,包钢股份,1.79,1.8,1.82,1.8,1.82,1.6759776536312776,1.1173184357541908,177687271,322144795.31,2023-04-28,0.5609,82964759419.36,57652525088.34,1.5711,-107.7232
7,SHSE.600011,华能国际,9.65,9.61,9.78,9.51,9.7,0.5181347150258864,2.797927461139892,74033781,715290439.42,2023-04-28,0.6732,152271505582.3,106677786214.3,3.165,-36.4243
8,SHSE.600012,皖通高速,9.61,9.44,9.59,9.3,9.48,-1.3527575442247586,3.017689906347546,19074444,180009241.74,2023-04-28,1.6364,15723622800.0,11049888000.0,1.2695,10.4934
9,SHSE.600015,华夏银行,5.8,5.8,5.8,5.71,5.76,-0.6896551724137945,1.551724137931032,55750348,320725799.16,2023-04-28,0.4348,91669987975.68,73858675121.28,0.3451,3.6286
10,SHSE.600016,民生银行,3.62,3.61,3.65,3.6,3.63,0.2762430939226457,1.3812154696132548,82607712,299950510.5,2023-04-28,0.2329,158930179162.26,128727507263.19,0.3054,4.5062
11,SHSE.600017,日照港,2.92,2.91,3.02,2.91,3.0,2.7397260273972712,3.7671232876712284,56585195,168533096.45,2023-04-28,1.8398,9226961664.0,9226961664.0,0.6677,15.3041
12,SHSE.600018,上港集团,5.6,5.61,5.75,5.6,5.73,2.3214285714285854,2.678571428571435,38743352,220696780.67,2023-04-28,0.1672,133418149417.5,132785155744.5,1.1518,7.7461
13,SHSE.600019,宝钢股份,6.56,6.47,6.5,6.35,6.44,-1.8292682926829174,2.286585365853664,109192611,703235662.88,2023-04-28,0.4987,143368569506.96,140996838256.96,0.7295,13.9196
14,SHSE.600020,中原高速,3.27,3.27,3.41,3.27,3.41,4.281345565749239,4.281345565749239,22487669,75531732.67,2023-04-28,1.0006,7663537947.12,7663537947.12,0.714,54.5487
15,SHSE.600021,上海电力,10.44,10.42,10.53,10.34,10.46,0.19157088122607746,1.8199233716475047,42516783,444548065.04,2023-04-28,1.6245,29463138526.7,27375537500.62,1.7918,53.1378
16,SHSE.600022,山东钢铁,1.55,1.54,1.55,1.52,1.54,-0.6451612903225823,1.9354838709677438,100484294,153945181.48,2023-04-28,0.9392,16476228313.16,16476228313.16,0.7648,-47.8508
17,SHSE.600023,浙能电力,4.49,4.4,4.53,4.38,4.49,0.0,3.340757238307358,86567260,386037806.81,2023-04-28,0.6456,60205210043.01,60205210043.01,0.9589,-41.843
18,SHSE.600025,华能水电,6.99,7.0,7.03,6.94,6.95,-0.5722460658083017,1.2875536480686673,20165596,140391062.27,2023-04-28,0.112,125100000000.0,125100000000.0,2.2565,18.2296
19,SHSE.600026,中远海能,13.1,13.16,13.29,12.88,13.12,0.15267175572519776,3.1297709923664,24102700,315047520.99,2023-04-28,0.6936,62592586302.4,45589066302.4,1.9144,42.9502
20,SHSE.600027,华电国际,6.31,6.28,6.38,6.21,6.32,0.15847860538829028,2.694136291600633,69526128,437866335.43,2023-04-28,0.8239,64185958842.72,53333042490.72,1.7284,643.075
21,SHSE.600028,中国石化,6.59,6.54,6.74,6.44,6.71,1.8209408194233667,4.5523520485584195,224437452,1482971032.52,2023-04-28,0.236,804504895304.66,638224810718.66,0.997,12.6487
22,SHSE.600029,南方航空,7.6,7.56,7.76,7.5,7.75,1.9736842105263275,3.4210526315789447,57216684,438411634.73,2023-04-28,0.5599,140436957423.0,79204182677.25,3.5863,-4.2971
23,SHSE.600030,中信证券,21.03,20.78,21.23,20.53,21.02,-0.04755111745127216,3.3285782215882036,126827870,2658143470.31,2023-04-28,1.1158,311527894345.58,238927683911.9,1.2731,14.4859
24,SHSE.600031,三一重工,16.22,16.25,16.51,16.16,16.49,1.6646115906288506,2.157829839704078,49221360,807028419.26,2023-04-28,0.5815,139944068414.63,139574919152.13,2.1066,33.3626
25,SHSE.600032,浙江新能,11.37,11.25,11.37,11.14,11.3,-0.6156552330694676,2.0228671943711403,3857440,43290218.0,2023-04-28,1.8545,27172831161.2,2350400000.0,3.1028,39.2766
26,SHSE.600033,福建高速,3.06,3.07,3.18,3.06,3.17,3.5947712418300526,3.921568627450984,37917856,118492798.65,2023-04-28,1.3816,8699748000.0,8699748000.0,0.7913,10.2573
27,SHSE.600035,楚天高速,3.67,3.87,4.04,3.82,4.04,10.081743869209813,5.994550408719351,56028430,222997950.53,2023-04-28,3.4798,6504868240.04,6504868240.04,0.829,7.8441
28,SHSE.600036,招商银行,32.63,32.46,33.75,32.41,33.6,2.9727244866686986,4.106650321789774,94021308,3136764114.53,2023-04-28,0.4558,847386812193.6,693132532814.4,0.9846,6.0171
29,SHSE.600037,歌华有线,9.21,9.14,9.77,9.1,9.71,5.428881650380024,7.274701411509228,41868604,400624744.69,2023-04-28,3.0083,13514163253.64,13514163253.64,1.0362,75.8363
30,SHSE.600038,中直股份,42.01,42.0,42.64,41.85,42.52,1.2139966674601377,1.8805046417519617,4614485,195463166.98,2023-04-28,0.7828,25064549964.32,25064549964.32,2.5667,64.7544
31,SHSE.600039,四川路桥,15.73,15.74,15.91,15.58,15.85,0.7628734901462098,2.0979020979020984,18934678,297884570.61,2023-04-28,0.3993,98672795653.75,75166344010.65,2.2085,12.0981
32,SHSE.600048,保利发展,13.88,13.86,13.91,13.66,13.91,0.2161383285302465,1.8011527377521614,55250566,763100780.31,2023-04-28,0.4616,166508867944.38,166508867944.38,0.8766,8.9825
33,SHSE.600050,中国联通,5.35,5.35,5.45,5.33,5.44,1.6822429906542258,2.24299065420561,263770967,1423296340.33,2023-04-28,0.8518,173016133129.28,168453148577.28,1.1035,22.9637
34,SHSE.600051,宁波联合,7.15,7.16,7.35,7.14,7.32,2.3776223776223793,2.937062937062936,2857256,20781280.56,2023-04-28,0.9191,2275641600.0,2275641600.0,0.6968,13.6483
35,SHSE.600052,东望时代,4.56,4.55,4.98,4.55,4.93,8.114035087719307,9.429824561403523,13875619,67408097.25,2023-04-28,1.6437,4161880073.13,4161880073.13,1.4327,-20.7758
36,SHSE.600053,九鼎投资,14.13,13.8,13.81,13.24,13.41,-5.095541401273884,4.033970276008494,5330956,71626166.06,2023-04-28,1.2296,5813782128.0,5813782128.0,2.0068,53.7448
37,SHSE.600054,黄山旅游,14.05,14.05,14.45,13.85,14.3,1.7793594306049876,4.270462633451954,17414535,247937569.25,2023-04-28,3.3927,10430125992.0,7340190000.0,2.512,-79.0325
38,SHSE.600055,万东医疗,23.77,23.8,23.8,22.18,22.53,-5.216659655027334,6.815313420277665,13958062,315945958.66,2023-04-28,2.5809,15839965636.74,12184588963.47,3.4168,87.4292
39,SHSE.600056,中国医药,14.32,14.14,14.27,13.91,14.23,-0.6284916201117263,2.5139664804469235,36715329,517239911.96,2023-04-28,2.4553,21286368814.04,21278851531.94,1.9203,36.8176
40,SHSE.600057,厦门象屿,10.62,10.65,10.73,10.52,10.66,0.37664783427495685,1.977401129943511,9247443,98252079.32,2023-04-28,0.4299,24131690181.3,22932823557.54,1.5701,9.0126
41,SHSE.600058,五矿发展,9.81,9.77,10.0,9.75,9.98,1.7329255861366022,2.54841997961264,6660214,65936460.86,2023-04-28,0.6213,10697668895.78,10697668895.78,2.2083,31.5004
42,SHSE.600059,古越龙山,9.71,9.69,9.94,9.69,9.9,1.9567456230690006,2.5746652935118433,7838349,77250482.49,2023-04-28,0.8599,9024269888.7,9024269888.7,1.6254,47.0675
43,SHSE.600060,海信视像,22.07,22.23,22.97,21.8,22.3,1.0421386497508012,5.301314000906199,16472127,367188287.4,2023-04-28,1.2778,29160644550.6,28746511250.6,1.6026,17.3667
44,SHSE.600061,国投资本,6.98,7.02,7.33,6.95,7.27,4.154727793696256,5.444126074498565,48892547,352452463.43,2023-04-28,0.7609,46711976517.47,46711976517.47,0.9528,15.8802
45,SHSE.600062,华润双鹤,21.56,20.84,21.2,19.4,20.78,-3.6178107606678944,8.348794063079781,48937408,998902823.35,2023-04-28,4.777,21676746561.8,21288031725.8,2.0826,18.0022
46,SHSE.600063,皖维高新,5.48,5.46,5.56,5.46,5.52,0.7299270072992581,1.8248175182481685,18625721,102775545.5,2023-04-28,0.9671,11919056544.48,10630938699.84,1.5045,11.1105
47,SHSE.600064,南京高科,6.77,6.75,6.83,6.75,6.77,0.0,1.1816838995568697,16770034,113700526.07,2023-04-28,0.9692,11714399389.88,11714399389.88,0.6804,5.1239
48,SHSE.600066,宇通客车,13.7,13.61,13.65,13.32,13.51,-1.3868613138686148,2.4087591240875916,46009290,619217538.08,2023-04-28,2.0782,29910318902.73,29910318902.73,2.0408,30.0504
49,SHSE.600067,冠城大通,2.97,2.98,3.03,2.97,3.02,1.683501683501687,2.020202020202007,6342630,19065981.93,2023-04-28,0.4558,4202839591.78,4202839591.78,0.5989,59.8441
50,SHSE.600071,凤凰光学,18.77,18.44,19.05,18.35,18.88,0.586041555673944,3.7293553542887548,4055577,76064891.16,2023-04-28,1.4403,5316115024.32,5316115024.32,10.6126,-1436.4893
51,SHSE.600072,中船科技,20.46,21.59,22.35,19.9,21.09,3.079178885630496,11.974584555229729,140340152,2953266827.1,2023-04-28,19.0615,15527510032.47,15527510032.47,3.8452,141.2271
52,SHSE.600073,上海梅林,8.32,8.25,8.41,8.14,8.31,-0.12019230769230171,3.2451923076923026,20443022,168848413.98,2023-04-28,2.1801,7792531912.32,7792531912.32,1.596,15.5419
53,SHSE.600075,新疆天业,5.06,5.05,5.13,5.04,5.13,1.3833992094861802,1.7786561264822107,7291666,37103652.38,2023-04-28,0.5747,8758760703.93,6508869681.69,0.8555,16.3414
54,SHSE.600076,康欣新材,2.78,2.8,2.84,2.78,2.83,1.7985611510791477,2.158273381294966,2984710,8383604.0,2023-04-28,0.2886,3805057728.61,2926967485.07,0.8258,-19.862
55,SHSE.600077,*ST宋都,1.54,1.39,1.52,1.39,1.49,-3.2467532467532534,8.441558441558449,117514409,169137289.12,2023-04-28,8.7689,1996782265.74,1996782265.74,2.8025,-3.3183
56,SHSE.600078,ST澄星,9.69,9.74,10.16,9.74,10.03,3.50877192982455,4.334365325077399,8601603,85938481.97,2023-04-28,1.2982,6645605795.83,6645605795.83,3.3271,2.7274
57,SHSE.600079,人福医药,27.51,28.15,28.45,25.6,26.98,-1.9265721555797977,10.359869138495084,29693539,799807166.77,2023-04-28,2.0375,44050665296.18,39320271959.72,2.7982,19.7087
58,SHSE.600080,金花股份,7.71,7.65,7.69,7.41,7.51,-2.5940337224383936,3.6316472114137515,7378400,55414232.0,2023-04-28,1.9767,2803259840.35,2803259840.35,1.6603,97.132
59,SHSE.600081,东风科技,10.79,10.65,11.15,10.63,11.0,1.9462465245597915,4.819277108433731,3544032,38869059.01,2023-04-28,1.1303,5174607955.0,3449160000.0,1.6126,47.5926
60,SHSE.600082,海泰发展,2.97,2.97,3.09,2.96,3.08,3.703703703703698,4.377104377104373,7230801,22008726.07,2023-04-28,1.1399,1990036744.08,1953753068.96,1.1339,103.1785
61,SHSE.600083,博信股份,7.08,7.02,7.07,6.87,6.96,-1.6949152542372947,2.8248587570621493,2445300,16953960.0,2023-04-28,1.0725,1600800000.0,1586833548.96,20.3059,182.6522
62,SHSE.600084,中信尼雅,7.77,7.77,7.83,7.74,7.81,0.5148005148005064,1.1583011583011564,3060796,23836103.93,2023-04-28,0.2724,8776306542.3,8776306542.3,6.8066,-10.1189
63,SHSE.600085,同仁堂,57.97,59.0,59.0,56.86,58.16,0.32775573572536576,3.6915646023805424,10758784,621888543.41,2023-04-28,0.7845,79764710437.92,79764710437.92,6.4804,55.9434
64,SHSE.600088,中视传媒,11.34,11.19,12.0,11.13,11.87,4.673721340387993,7.6719576719576645,16436121,193735325.36,2023-04-28,4.1327,4720774968.0,4720774968.0,4.6605,-72.3048
65,SHSE.600089,特变电工,22.36,22.35,22.71,22.3,22.59,1.0286225402504456,1.833631484794276,54166310,1217749625.76,2023-04-28,1.393,87841300593.51,87841300593.51,1.4805,5.0236
66,SHSE.600094,大名城,3.12,3.1,3.13,3.09,3.11,-0.3205128205128305,1.2820512820512833,9364826,29115293.6,2023-04-28,0.4114,7698260927.27,7080241431.82,0.6199,21.6495
67,SHSE.600095,湘财股份,7.91,8.09,8.59,8.07,8.39,6.068268015170686,6.573957016434886,68179749,570286468.58,2023-04-28,6.0134,23988255168.29,9512587403.16,1.9861,-215.448
68,SHSE.600096,云天化,18.53,18.6,19.15,18.59,19.13,3.237992444684279,3.0221262817053356,25609037,486139268.84,2023-04-28,1.4681,35090708930.11,33369008930.11,1.9532,5.8995
69,SHSE.600097,开创国际,10.83,10.82,11.17,10.82,11.17,3.1394275161588103,3.2317636195752506,2982509,33001098.08,2023-04-28,1.2379,2691261364.03,2691261364.03,1.2906,25.3646
70,SHSE.600098,广州发展,6.29,6.3,6.33,6.24,6.3,0.15898251192367763,1.4308426073131935,21847311,137194693.6,2023-04-28,0.6813,22327549807.5,20202811895.7,0.9049,16.4918
71,SHSE.600099,林海股份,8.2,8.2,8.34,8.12,8.33,1.585365853658538,2.6829268292683004,1703401,14103868.26,2023-04-28,0.7774,1825269600.0,1825269600.0,3.6161,191.3162
72,SHSE.600100,同方股份,7.76,7.7,8.35,7.7,8.3,6.958762886597958,8.376288659793808,169516021,1380481440.12,2023-04-28,5.7194,27807471017.9,24600361293.3,1.8329,-14.0739
73,SHSE.600101,明星电力,8.69,8.68,8.8,8.6,8.8,1.2658227848101333,2.3014959723820607,7084080,61918967.0,2023-04-28,1.681,3708607496.0,3708607496.0,1.3599,21.1332
74,SHSE.600103,青山纸业,2.53,2.52,2.6,2.51,2.59,2.371541501976293,3.5573122529644388,48360678,124262004.52,2023-04-28,2.0973,5972068120.13,5972068120.13,1.5219,29.4218
75,SHSE.600104,上汽集团,13.97,13.98,14.18,13.97,14.12,1.0737294201861092,1.5032211882605517,18938396,267063265.28,2023-04-28,0.1621,164970474473.8,164970474473.8,0.5863,9.8007
76,SHSE.600105,永鼎股份,6.55,6.1,6.77,6.1,6.42,-1.984732824427482,10.229007633587786,226485838,1463716742.81,2023-04-28,16.4011,9021076218.78,8865506265.18,3.0489,38.2474
77,SHSE.600106,重庆路桥,4.84,4.86,4.97,4.82,4.92,1.6528925619834656,3.0991735537189973,9763968,47890888.83,2023-04-28,0.7347,6538803305.04,6538803305.04,1.4309,39.377
78,SHSE.600107,美尔雅,5.58,5.6,5.75,5.55,5.75,3.046594982078843,3.5842293906810068,3179207,18113623.97,2023-04-28,0.8831,2070000000.0,2070000000.0,3.3146,-115.7371
79,SHSE.600108,亚盛集团,3.09,3.09,3.14,3.08,3.13,1.2944983818770295,1.9417475728155358,17740726,55338083.8,2023-04-28,0.9112,6093844328.73,6093844328.73,1.4829,77.4647
80,SHSE.600109,国金证券,9.36,9.36,9.54,9.24,9.39,0.3205128205128416,3.2051282051281937,88308823,829763918.02,2023-04-28,2.7499,34971733920.9,30154640089.08,1.1025,20.925
