,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,6.88,6.89,7.04,6.89,7.02,2.03,2.18,33424530,233200479.26,2022-11-22,0.11,206052259065.12,206052259065.12,3.97,0.36
1,SHSE.600004,白云机场,13.75,13.73,14.00,13.46,13.63,-0.87,3.93,21758879,297116516.64,2022-11-22,0.92,32258370197.29,32258370197.29,-59.42,1.83
2,SHSE.600006,东风汽车,5.77,5.77,5.78,5.67,5.71,-1.04,1.91,11792486,67538889.57,2022-11-22,0.59,11420000000.00,11420000000.00,-258.34,1.43
3,SHSE.600007,中国国贸,14.44,14.50,14.77,14.31,14.40,-0.28,3.19,2614171,37886495.53,2022-11-22,0.26,14504868489.60,14504868489.60,12.98,1.63
4,SHSE.600008,首创环保,2.81,2.81,2.86,2.80,2.84,1.07,2.14,52061304,147645336.02,2022-11-22,0.71,20847277522.68,20847277522.68,5.82,1.09
5,SHSE.600009,上海机场,52.24,52.20,52.68,51.88,52.37,0.25,1.53,9515455,498003623.94,2022-11-22,0.87,130321767775.80,57265358910.89,-47.51,3.21
6,SHSE.600010,包钢股份,1.93,1.94,1.98,1.93,1.96,1.55,2.59,376961426,736304700.38,2022-11-22,1.19,89346663990.08,62087334710.52,-53.90,1.66
7,SHSE.600011,华能国际,7.68,7.68,7.76,7.54,7.62,-0.78,2.86,40667377,310759688.61,2022-11-22,0.37,119619471395.58,83802549582.78,-7.84,2.33
8,SHSE.600012,皖通高速,6.90,6.91,6.96,6.84,6.89,-0.14,1.74,9390700,64711571.80,2022-11-22,0.81,11427822900.00,8030984000.00,7.88,0.98
9,SHSE.600015,华夏银行,4.93,4.93,5.07,4.92,5.03,2.03,3.04,36620185,183705526.24,2022-11-22,0.29,80052090194.04,64498113864.59,3.28,0.32
10,SHSE.600016,民生银行,3.41,3.40,3.47,3.40,3.46,1.47,2.05,89258777,307671984.97,2022-11-22,0.25,151487168016.92,122698946316.98,4.64,0.30
11,SHSE.600017,日照港,2.78,2.79,2.85,2.78,2.82,1.44,2.52,30269581,85247237.63,2022-11-22,0.98,8673343964.16,8673343964.16,10.59,0.64
12,SHSE.600018,上港集团,5.22,5.22,5.35,5.19,5.32,1.92,3.07,21979126,116347812.60,2022-11-22,0.09,123871650070.00,123283949138.00,6.70,1.12
13,SHSE.600019,宝钢股份,5.25,5.26,5.49,5.23,5.39,2.67,4.95,72389118,388768082.17,2022-11-22,0.33,120026738254.50,117992009314.41,10.43,0.61
14,SHSE.600020,中原高速,2.77,2.77,2.82,2.75,2.79,0.72,2.53,6808749,18988964.17,2022-11-22,0.30,6270167411.28,6270167411.28,16.63,0.59
15,SHSE.600021,上海电力,9.89,9.87,9.98,9.70,9.75,-1.42,2.83,33503982,328671339.66,2022-11-22,1.28,27463250538.75,25517350920.75,-12.93,1.72
16,SHSE.600022,山东钢铁,1.50,1.51,1.52,1.50,1.51,0.67,1.33,55360441,83585085.19,2022-11-22,0.51,16529289920.16,16529289920.16,73.80,0.76
17,SHSE.600023,浙能电力,3.52,3.52,3.54,3.49,3.51,-0.28,1.42,13788929,48475588.97,2022-11-22,0.10,47064651948.99,47064651948.99,-17.70,0.74
18,SHSE.600025,华能水电,6.51,6.50,6.62,6.49,6.59,1.23,2.00,21289272,139865035.13,2022-11-22,0.12,118620000000.00,118620000000.00,17.09,2.20
19,SHSE.600026,中远海能,18.75,19.00,20.18,18.82,19.24,2.61,7.25,80884038,1585810787.84,2022-11-22,2.82,91789737839.80,55277620489.52,-19.21,3.02
20,SHSE.600027,华电国际,5.69,5.73,5.73,5.54,5.65,-0.70,3.34,48683422,273843630.92,2022-11-22,0.60,55764698914.75,46062329074.75,-13.17,1.45
21,SHSE.600028,中国石化,4.24,4.25,4.35,4.24,4.32,1.89,2.59,162526470,697936181.65,2022-11-22,0.17,522792557190.72,412809570918.72,7.71,0.67
22,SHSE.600029,南方航空,6.92,6.88,6.99,6.82,6.88,-0.58,2.46,24643179,169787903.88,2022-11-22,0.24,119143151472.64,70312820929.44,-5.05,2.31
