,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,7.67,7.68,7.79,7.68,7.79,1.56,1.43,25164232,195287190.73,2022-07-18,0.09,228653429921.31,228653429921.31,4.26,0.40
1,SHSE.600004,白云机场,13.92,13.86,14.02,13.65,13.91,-0.07,2.66,14717312,204254927.91,2022-07-18,0.62,32921051316.53,32921051316.53,-98.62,1.85
2,SHSE.600006,东风汽车,7.01,6.98,7.24,6.91,7.17,2.28,4.71,41403419,295110656.84,2022-07-18,2.07,14340000000.00,14340000000.00,66.00,1.79
3,SHSE.600007,中国国贸,14.30,14.29,14.61,14.27,14.47,1.19,2.38,1701700,24654718.84,2022-07-18,0.17,14575378266.98,14575378266.98,13.83,1.69
4,SHSE.600008,首创环保,2.85,2.85,2.97,2.84,2.96,3.86,4.56,133310632,391889299.01,2022-07-18,1.82,21728148403.92,21728148403.92,9.48,1.29
5,SHSE.600009,上海机场,51.80,51.50,51.90,50.84,51.23,-1.10,2.05,10476252,536946957.69,2022-07-18,0.96,98718081291.04,56018795818.31,-55.36,3.76
6,SHSE.600010,包钢股份,2.13,2.09,2.17,2.07,2.16,1.41,4.69,519926377,1113184281.79,2022-07-18,1.64,98463670519.68,68422777027.92,39.97,1.79
7,SHSE.600011,华能国际,7.24,7.11,7.60,7.11,7.57,4.56,6.77,146969796,1093956998.93,2022-07-18,1.34,118834566727.63,83252664086.83,-8.25,2.22
8,SHSE.600012,皖通高速,7.65,7.63,7.77,7.60,7.69,0.52,2.22,15685170,120930927.38,2022-07-18,1.35,12754710900.00,8963464000.00,8.29,1.14
9,SHSE.600015,华夏银行,5.02,5.03,5.09,5.03,5.08,1.20,1.20,15145709,76880630.04,2022-07-18,0.12,78167097833.64,65139248197.24,3.28,0.32
10,SHSE.600016,民生银行,3.62,3.62,3.67,3.62,3.67,1.38,1.38,47498214,173422029.25,2022-07-18,0.13,160681475902.34,130145992191.71,4.82,0.32
11,SHSE.600017,日照港,3.03,3.03,3.21,3.02,3.21,5.94,6.27,89241823,282910102.67,2022-07-18,2.90,9872848980.48,9872848980.48,12.56,0.74
12,SHSE.600018,上港集团,5.50,5.45,5.56,5.45,5.54,0.73,2.00,31541963,174269251.81,2022-07-18,0.14,128994161915.00,128382157561.00,7.49,1.22
13,SHSE.600019,宝钢股份,5.74,5.73,5.84,5.70,5.82,1.39,2.44,71424013,412721123.26,2022-07-18,0.33,129602155221.00,127097639783.34,5.89,0.67
14,SHSE.600020,中原高速,3.09,3.07,3.15,3.05,3.12,0.97,3.24,23441081,72898117.42,2022-07-18,1.04,7011800115.84,7011800115.84,13.33,0.65
15,SHSE.600021,上海电力,9.98,10.08,10.37,10.03,10.33,3.51,3.41,53986481,551964317.03,2022-07-18,2.06,27035306155.01,27035306155.01,-13.12,1.87
16,SHSE.600022,山东钢铁,1.64,1.64,1.69,1.64,1.69,3.05,3.05,67512332,112855118.15,2022-07-18,0.62,18499668851.04,18499668851.04,15.40,0.83
17,SHSE.600023,浙能电力,3.61,3.63,3.76,3.62,3.73,3.32,3.88,55222247,205131594.90,2022-07-18,0.41,50730573655.24,50730573655.24,-39.60,0.79
18,SHSE.600025,华能水电,7.09,7.11,7.22,7.10,7.21,1.69,1.69,23372582,167832902.20,2022-07-18,0.13,129780000000.00,129780000000.00,21.71,2.50
19,SHSE.600026,中远海能,8.85,9.00,9.74,9.00,9.74,10.06,8.36,57843907,550805486.59,2022-07-18,2.01,46467362087.30,27983577108.52,-8.78,1.58
20,SHSE.600027,华电国际,4.85,4.84,5.06,4.84,5.04,3.92,4.54,80169950,400442111.05,2022-07-18,0.98,49744085403.60,41054544987.12,-8.90,1.30
21,SHSE.600028,中国石化,4.02,4.04,4.10,4.03,4.10,1.99,1.74,102062516,416252063.13,2022-07-18,0.11,496391959548.60,391786861288.60,6.56,0.63
22,SHSE.600029,南方航空,6.79,6.74,6.95,6.71,6.88,1.33,3.53,30662542,209768464.04,2022-07-18,0.30,116605425550.08,70312799924.80,-9.26,2.08
23,SHSE.600030,中信证券,19.57,19.65,19.97,19.65,19.87,1.53,1.64,62230230,1234444120.01,2022-07-18,0.55,294484265492.23,225855998065.15,12.71,1.29
24,SHSE.600031,三一重工,17.66,17.74,18.79,17.67,18.75,6.17,6.34,123600325,2264774592.39,2022-07-18,1.46,159249112893.75,159249112893.75,19.70,2.54
25,SHSE.600032,浙江新能,14.73,15.16,15.62,15.08,15.55,5.57,3.67,38278325,590708029.63,2022-07-18,18.40,32344000000.00,3234400000.00,51.79,3.76
26,SHSE.600033,福建高速,3.11,3.07,3.14,3.00,3.06,-1.61,4.50,83290758,255666596.40,2022-07-18,3.03,8397864000.00,8397864000.00,10.20,0.80
27,SHSE.600035,楚天高速,3.56,3.56,3.90,3.56,3.73,4.78,9.55,90908075,341547164.10,2022-07-18,5.65,6005732310.73,6005732310.73,8.14,0.83
28,SHSE.600036,招商银行,34.87,35.15,35.84,35.01,35.63,2.18,2.38,90308021,3202227202.45,2022-07-18,0.44,898583098763.63,735009290005.27,7.25,1.18
29,SHSE.600037,歌华有线,8.57,8.52,8.82,8.48,8.78,2.45,3.97,14054623,122805125.16,2022-07-18,1.01,12219809821.52,12219809821.52,38.77,0.95
30,SHSE.600038,中直股份,44.40,44.08,44.31,42.77,43.96,-0.99,3.47,10608089,462518096.42,2022-07-18,1.80,25913396435.36,25913396435.36,34.07,2.76
31,SHSE.600039,四川路桥,10.86,10.86,11.00,10.73,10.90,0.37,2.49,19504753,212232461.09,2022-07-18,0.41,52373888390.10,51358858590.10,8.80,1.83
32,SHSE.600048,保利发展,15.78,15.79,16.55,15.68,16.49,4.50,5.51,111311842,1800748310.94,2022-07-18,0.93,197389978081.08,197389978081.08,7.07,1.09
33,SHSE.600050,中国联通,3.38,3.38,3.41,3.38,3.41,0.89,0.89,62226229,211644531.98,2022-07-18,0.20,105669528796.92,105581824705.17,15.90,0.69
34,SHSE.600051,宁波联合,6.52,6.59,6.86,6.53,6.82,4.60,5.06,11623813,78898171.81,2022-07-18,3.74,2120201600.00,2120201600.00,9.80,0.66
35,SHSE.600052,东望时代,4.43,4.35,4.69,4.35,4.64,4.74,7.67,10986009,50342651.15,2022-07-18,1.30,3917063598.24,3917063598.24,-62.38,1.21
36,SHSE.600053,九鼎投资,15.95,15.85,16.50,15.81,16.43,3.01,4.33,2379678,38881087.14,2022-07-18,0.55,7123075344.00,7123075344.00,84.28,2.49
37,SHSE.600054,黄山旅游,10.57,10.45,10.59,10.39,10.55,-0.19,1.89,4700238,49417530.00,2022-07-18,0.92,7694953092.00,5415315000.00,-924.93,1.90
38,SHSE.600055,万东医疗,21.60,21.60,21.78,21.07,21.55,-0.23,3.29,4984067,106867631.08,2022-07-18,0.92,15150965799.90,11654589088.45,95.39,3.38
39,SHSE.600056,中国医药,14.88,14.75,15.11,14.51,15.05,1.14,4.03,60741377,901039677.56,2022-07-18,4.06,22512990207.40,22505039743.90,33.10,2.11
