,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,7.44,7.44,7.45,7.35,7.42,-0.26881720430108613,1.3440860215053836,13992076,103339600.83,2023-07-17,0.0477,217793143263.64,217793143263.64,0.3627,4.5741
1,SHSE.600004,白云机场,13.85,13.9,13.93,13.7,13.82,-0.21660649819493782,1.660649819494588,14896505,205713158.7,2023-07-17,0.6294,32708046671.06,32708046671.06,1.8854,-34.6566
2,SHSE.600006,东风汽车,5.94,5.91,5.94,5.84,5.92,-0.33670033670034627,1.6835016835016925,16483992,97054555.74,2023-07-17,0.8242,11840000000.0,11840000000.0,1.4447,45.1813
3,SHSE.600007,中国国贸,18.84,18.87,19.06,18.75,18.91,0.37154989384289294,1.6454352441613522,1234875,23277783.75,2023-07-17,0.1226,19047712717.94,19047712717.94,2.0944,16.3103
4,SHSE.600008,首创环保,2.86,2.86,2.87,2.84,2.87,0.34965034965035446,1.0489510489510576,27682420,79053387.39,2023-07-17,0.3771,21067495242.99,21067495242.99,1.136,6.6585
5,SHSE.600009,上海机场,45.88,45.89,46.25,45.52,46.02,0.30514385353095363,1.5911072362685197,6149005,282612521.1,2023-07-17,0.3191,114519911266.8,88678627776.96,2.8817,-44.2173
6,SHSE.600010,包钢股份,1.82,1.82,1.82,1.79,1.8,-1.098901098901095,1.6483516483516498,193643185,348613249.79,2023-07-17,0.6148,81728896046.4,56694818136.6,1.5437,-106.1185
7,SHSE.600011,华能国际,9.16,9.37,9.41,9.2,9.35,2.0742358078602585,2.292576419213983,56176715,523845720.95,2023-07-17,0.5108,146777172906.65,102828587742.65,2.8186,-35.11
8,SHSE.600012,皖通高速,9.91,9.95,9.97,9.73,9.85,-0.6054490413723523,2.421796165489407,6655050,65252462.46,2023-07-17,0.571,16337308500.0,11481160000.0,1.3803,10.903
9,SHSE.600015,华夏银行,5.52,5.51,5.52,5.46,5.5,-0.36231884057970065,1.0869565217391235,11015425,60367571.84,2023-07-17,0.0859,87532106574.0,70524776591.5,0.3308,3.4648
10,SHSE.600016,民生银行,3.86,3.84,3.88,3.82,3.88,0.5181347150259086,1.5544041450777215,47695308,183773730.51,2023-07-17,0.1345,169875783787.76,137593038066.44,0.3277,4.7482
11,SHSE.600017,日照港,2.94,2.94,2.97,2.92,2.96,0.6802721088435382,1.7006802721088528,20498947,60370554.4,2023-07-17,0.6665,9103935508.48,9103935508.48,0.6816,15.1
12,SHSE.600018,上港集团,5.24,5.23,5.25,5.2,5.25,0.190839694656475,0.9541984732824393,9263550,48379104.0,2023-07-17,0.04,122241759937.5,121661791912.5,1.0521,7.9998
13,SHSE.600019,宝钢股份,5.77,5.77,5.78,5.71,5.74,-0.5199306759098632,1.2131715771230553,21808220,124999637.44,2023-07-17,0.0998,127785029343.16,125464454968.16,0.6479,12.4066
