,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,8.15,8.12,8.14,8.01,8.03,-1.47,1.60,21022369,169238878.94,2022-04-18,0.07,235697940043.83,235697940043.83,4.45,0.41
1,SHSE.600004,白云机场,13.43,13.29,13.67,13.18,13.32,-0.82,3.65,17789207,238777907.09,2022-04-18,0.86,31524687529.56,27563349246.48,-77.68,1.73
2,SHSE.600006,东风汽车,5.15,5.15,5.23,5.10,5.19,0.78,2.52,9406500,48677348.00,2022-04-18,0.47,10380000000.00,10380000000.00,27.92,1.28
3,SHSE.600007,中国国贸,15.28,14.97,15.50,14.57,14.79,-3.21,6.09,9469399,142166505.16,2022-04-18,0.94,14897708677.86,14897708677.86,14.55,1.67
4,SHSE.600008,首创环保,3.15,3.15,3.16,3.09,3.11,-1.27,2.22,77977200,242314545.60,2022-04-18,1.06,22829237005.47,22829237005.47,9.98,1.33
5,SHSE.600009,上海机场,52.71,52.01,52.57,51.15,51.81,-1.71,2.69,12289866,636667438.91,2022-04-18,1.12,99835717190.88,56653012128.57,-58.35,3.70
6,SHSE.600010,包钢股份,2.24,2.22,2.22,2.18,2.19,-2.23,1.79,395152592,865684786.58,2022-04-18,1.25,99831221499.12,69373093375.53,34.83,1.79
7,SHSE.600011,华能国际,6.39,6.30,6.82,6.28,6.73,5.32,8.45,134244807,884163461.48,2022-04-18,1.22,105648168306.07,74014587754.87,-10.29,1.89
8,SHSE.600012,皖通高速,7.75,7.73,7.79,7.61,7.72,-0.39,2.32,2943000,22743737.00,2022-04-18,0.25,12804469200.00,8998432000.00,8.46,1.09
9,SHSE.600015,华夏银行,5.67,5.63,5.65,5.55,5.56,-1.94,1.76,25452318,142310122.78,2022-04-18,0.20,85552965345.48,71294137790.68,3.64,0.35
10,SHSE.600016,民生银行,3.83,3.82,3.83,3.76,3.77,-1.57,1.83,56062994,212191141.96,2022-04-18,0.16,165059717752.54,133692204513.01,4.80,0.33
11,SHSE.600017,日照港,3.03,3.00,3.01,2.93,2.98,-1.65,2.64,25661151,76360479.97,2022-04-18,0.83,9165448586.24,9165448586.24,12.44,0.69
12,SHSE.600018,上港集团,6.19,6.21,6.26,6.05,6.22,0.48,3.39,44000185,271602642.88,2022-04-18,0.19,144793388045.00,144140256323.00,9.86,1.38
13,SHSE.600019,宝钢股份,7.35,7.26,7.30,7.11,7.13,-2.99,2.59,74927256,538635704.24,2022-04-18,0.34,158773774351.50,158374080005.81,6.01,0.82
14,SHSE.600020,中原高速,3.29,3.29,3.32,3.25,3.30,0.30,2.13,9497135,31200695.43,2022-04-18,0.42,7416327045.60,7416327045.60,9.98,0.69
15,SHSE.600021,上海电力,8.73,8.63,9.23,8.62,9.17,5.04,6.99,80096964,722792566.55,2022-04-18,3.06,23999395686.49,23999395686.49,344.36,1.65
16,SHSE.600022,山东钢铁,1.76,1.74,1.74,1.71,1.72,-2.27,1.70,148636277,256542930.15,2022-04-18,1.36,18828065339.52,18828065339.52,15.33,0.84
17,SHSE.600023,浙能电力,3.43,3.41,3.43,3.37,3.42,-0.29,1.75,14857537,50463972.73,2022-04-18,0.11,46514359758.96,46514359758.96,14.82,0.72
18,SHSE.600025,华能水电,6.22,6.18,6.23,6.16,6.22,0.00,1.13,16505091,102226121.51,2022-04-18,0.09,111960000000.00,111960000000.00,19.18,2.15
19,SHSE.600026,中远海能,7.45,7.41,7.41,7.08,7.21,-3.22,4.43,48714295,349842250.35,2022-04-18,1.70,34339008490.85,20656453080.48,-6.90,1.20
