,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,7.41,7.42,7.44,7.3,7.37,-0.5398110661268607,1.8893387314440024,26942819,198416676.49,2023-05-30,0.0918,216325527973.83,216325527973.83,0.3598,4.5433
1,SHSE.600004,白云机场,14.06,14.08,14.12,13.86,14.07,0.07112375533429027,1.8492176386913213,13791194,192829154.36,2023-05-30,0.5827,33299726241.81,33299726241.81,1.9323,-35.2835
2,SHSE.600006,东风汽车,5.58,5.55,5.63,5.53,5.63,0.8960573476702427,1.7921146953404954,13229789,73921446.48,2023-05-30,0.6615,11260000000.0,11260000000.0,1.358,42.968
3,SHSE.600007,中国国贸,19.23,19.23,19.25,18.94,19.24,0.05200208008320217,1.6120644825792965,2246649,42919356.07,2023-05-30,0.223,19380115954.16,19380115954.16,2.0476,16.595
4,SHSE.600008,首创环保,3.08,3.08,3.13,3.06,3.13,1.6233766233766156,2.2727272727272676,70340670,218214885.97,2023-05-30,0.9582,22976048819.01,22976048819.01,1.2077,7.2617
5,SHSE.600009,上海机场,47.11,47.11,47.28,45.85,46.7,-0.8703035448949237,3.035448949267671,12213511,565977879.72,2023-05-30,0.6338,89988959521.6,116212078578.0,2.9415,-44.8706
6,SHSE.600010,包钢股份,1.83,1.82,1.83,1.8,1.81,-1.0928961748633892,1.6393442622950833,134327253,243387941.19,2023-05-30,0.4265,57009789348.47,82182945468.88,1.5563,-106.7081
7,SHSE.600011,华能国际,10.29,10.27,10.33,10.0,10.24,-0.4859086491739495,3.2069970845481057,71962075,729731533.9,2023-05-30,0.6543,112616549570.56,160748475996.16,3.3412,-38.452
8,SHSE.600012,皖通高速,10.63,10.52,10.75,10.43,10.56,-0.6585136406397019,3.0103480714957693,3926703,41437243.1,2023-05-30,0.3369,12308736000.0,17514921600.0,1.4142,11.6889
9,SHSE.600015,华夏银行,5.79,5.79,5.84,5.74,5.8,0.17271157167528806,1.7271157167530162,23229944,134262599.68,2023-05-30,0.1812,74371582587.4,92306585114.4,0.3475,3.6538
10,SHSE.600016,民生银行,3.94,3.93,3.96,3.9,3.92,-0.5076142131979711,1.52284263959391,93157739,365606200.96,2023-05-30,0.2627,139011522994.96,171627080527.84,0.3298,4.7971
11,SHSE.600017,日照港,3.03,3.03,3.06,3.0,3.05,0.660066006600668,1.980198019801982,33102293,100403018.99,2023-05-30,1.0763,9380744358.4,9380744358.4,0.6789,15.5591
12,SHSE.600018,上港集团,5.3,5.29,5.33,5.23,5.31,0.18867924528300772,1.886792452830182,13515379,71384767.05,2023-05-30,0.0583,123052212391.5,123638808622.5,1.0674,8.0913
13,SHSE.600019,宝钢股份,6.03,6.03,6.08,5.9,5.98,-0.8291873963515717,2.985074626865667,64564118,385876726.19,2023-05-30,0.2954,130710355524.32,133127957399.32,0.6774,12.9254
14,SHSE.600020,中原高速,3.49,3.49,3.53,3.45,3.5,0.2865329512893977,2.2922636103151754,10594753,36937780.5,2023-05-30,0.4714,7865801412.0,7865801412.0,0.7328,20.4151
15,SHSE.600021,上海电力,11.86,11.75,11.81,11.44,11.69,-1.433389544688024,3.119730185497479,103477789,1201278696.12,2023-05-30,3.9538,30594649462.93,32927733210.05,2.0025,59.3863
16,SHSE.600022,山东钢铁,1.44,1.45,1.45,1.43,1.44,0.0,1.3888888888888902,37506869,54050374.96,2023-05-30,0.3506,15406343357.76,15406343357.76,0.7152,-44.7436
17,SHSE.600023,浙能电力,5.18,5.14,5.15,5.0,5.11,-1.3513513513513375,2.895752895752903,73701942,374360354.44,2023-05-30,0.5497,68518624347.39,68518624347.39,1.0913,-47.6208
18,SHSE.600025,华能水电,7.61,7.65,7.69,7.55,7.6,-0.13140604467806183,1.83968462549278,20249483,154125767.11,2023-05-30,0.1125,136800000000.0,136800000000.0,2.4676,19.9345
19,SHSE.600026,中远海能,11.33,11.38,11.5,11.18,11.29,-0.3530450132391949,2.8243601059135064,25172742,284548610.21,2023-05-30,0.7244,39230225499.55,53862065499.55,1.6474,21.3049
20,SHSE.600027,华电国际,7.12,7.28,7.28,7.0,7.2,1.1235955056179803,3.9325842696629247,165528996,1180917410.19,2023-05-30,1.9615,60759162331.2,73123244251.2,1.9691,119.5272
21,SHSE.600028,中国石化,6.51,6.51,6.59,6.38,6.45,-0.9216589861751112,3.2258064516129026,148184193,960606063.8,2023-05-30,0.1558,613494788246.7,773331829316.7,0.9583,12.1585
22,SHSE.600029,南方航空,6.33,6.31,6.32,6.16,6.27,-0.9478672985782088,2.527646129541866,67976339,423454959.05,2023-05-30,0.6651,64078776354.45,113618066374.56,2.9015,-3.7767
23,SHSE.600030,中信证券,20.35,20.39,20.46,20.1,20.36,0.04914004914002845,1.7690417690417661,65588311,1330113854.35,2023-05-30,0.577,231425672904.2,301746333438.44,1.2331,14.0311
24,SHSE.600031,三一重工,15.13,15.09,15.2,14.71,15.05,-0.5287508261731633,3.2385988103106307,62674102,938492277.54,2023-05-30,0.7405,127386448346.85,127723361409.35,1.9226,30.4492
25,SHSE.600032,浙江新能,12.71,12.55,13.0,12.48,12.68,-0.2360346184107076,4.0912667191188,21876783,278118246.01,2023-05-30,10.5177,2637440000.0,30491283108.32,3.4817,44.0732
26,SHSE.600033,福建高速,3.12,3.11,3.13,3.07,3.11,-0.3205128205128305,1.9230769230769247,9627408,29879930.8,2023-05-30,0.3508,8535084000.0,8535084000.0,0.7763,10.075
27,SHSE.600035,楚天高速,4.07,4.06,4.13,4.04,4.11,0.9828009828009909,2.2113022113022076,14662005,59908005.7,2023-05-30,0.9106,6617576353.11,6617576353.11,0.8434,7.98
28,SHSE.600036,招商银行,32.69,32.69,32.9,32.36,32.64,-0.15295197308043962,1.651881309268887,34007178,1108840099.52,2023-05-30,0.1649,673328746162.56,823175760416.64,0.9565,5.8452
29,SHSE.600037,歌华有线,8.32,8.24,8.44,8.17,8.42,1.2019230769230616,3.2451923076923026,14131154,118051228.23,2023-05-30,1.0153,11718769783.28,11718769783.28,0.8985,65.7612
30,SHSE.600038,中直股份,39.08,39.0,39.2,38.21,38.96,-0.3070624360286489,2.5332650972364434,4498819,173935035.62,2023-05-30,0.7632,22966012855.36,22966012855.36,2.3518,58.9066
31,SHSE.600039,四川路桥,14.21,14.14,14.53,14.03,14.53,2.2519352568613593,3.5186488388458828,15726913,226655943.02,2023-05-30,0.3316,68906433973.17,90455250526.75,2.0246,7.6112
32,SHSE.600048,保利发展,12.94,12.92,12.99,12.29,12.95,0.07727975270479526,5.409582689335402,100431403,1265619898.26,2023-05-30,0.839,155017242263.1,155017242263.1,0.8161,8.3626
