,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,7.97,8.01,8.04,7.95,8.02,0.63,1.13,18714191,149733542.99,2022-05-17,0.06,235404418325.22,235404418325.22,4.38,0.41
1,SHSE.600004,白云机场,11.59,11.56,11.67,11.31,11.65,0.52,3.11,13490962,155278460.50,2022-05-17,0.57,27572267996.95,27572267996.95,-82.59,1.51
2,SHSE.600006,东风汽车,4.97,4.95,5.31,4.93,5.19,4.43,7.65,43056956,222039705.88,2022-05-17,2.15,10380000000.00,10380000000.00,47.77,1.28
3,SHSE.600007,中国国贸,15.16,15.17,15.33,14.61,15.25,0.59,4.75,6377209,95448629.10,2022-05-17,0.63,15361058643.50,15361058643.50,14.58,1.73
4,SHSE.600008,首创环保,2.96,2.96,2.96,2.92,2.95,-0.34,1.35,38672224,113544872.26,2022-05-17,0.53,21654742497.15,21654742497.15,9.45,1.26
5,SHSE.600009,上海机场,47.84,47.46,48.15,47.10,48.05,0.44,2.19,12801610,611011497.95,2022-05-17,1.17,52541540875.85,92590353426.40,-51.93,3.43
6,SHSE.600010,包钢股份,1.86,1.86,1.88,1.84,1.88,1.08,2.15,337931056,629947837.16,2022-05-17,1.07,59553157783.56,85699861378.24,34.79,1.54
7,SHSE.600011,华能国际,6.96,6.92,6.96,6.59,6.75,-3.02,5.32,91455462,613498890.09,2022-05-17,0.83,74234541953.25,105962130173.25,-7.35,1.89
8,SHSE.600012,皖通高速,7.29,7.25,7.35,7.21,7.27,-0.27,1.92,3689300,26799378.00,2022-05-17,0.32,8473912000.00,12058094700.00,7.84,1.02
9,SHSE.600015,华夏银行,5.30,5.30,5.32,5.26,5.31,0.19,1.13,16807656,89040951.92,2022-05-17,0.13,68088466127.43,81706159349.73,3.43,0.34
10,SHSE.600016,民生银行,3.73,3.73,3.75,3.72,3.73,0.00,0.80,38904422,145278024.97,2022-05-17,0.11,132273719584.49,163308421012.46,4.90,0.33
11,SHSE.600017,日照港,2.97,2.96,2.97,2.86,2.91,-2.02,3.70,31360682,90869567.43,2022-05-17,1.02,8950152814.08,8950152814.08,11.39,0.67
12,SHSE.600018,上港集团,6.24,6.23,6.29,6.07,6.13,-1.76,3.53,38302149,235103624.36,2022-05-17,0.17,142054625604.50,142698306867.50,8.29,1.36
13,SHSE.600019,宝钢股份,6.21,6.21,6.24,6.16,6.22,0.16,1.29,86284900,534879157.24,2022-05-17,0.39,138160838378.14,138509519841.00,6.30,0.71
14,SHSE.600020,中原高速,3.08,3.06,3.09,3.01,3.02,-1.95,2.60,10622984,32241962.36,2022-05-17,0.47,6787062932.64,6787062932.64,12.90,0.63
15,SHSE.600021,上海电力,9.19,9.16,9.18,8.80,9.03,-1.74,4.13,52519969,471033754.30,2022-05-17,2.01,23632992698.91,23632992698.91,-11.47,1.63
16,SHSE.600022,山东钢铁,1.61,1.61,1.61,1.59,1.60,-0.62,1.24,42124630,67485161.00,2022-05-17,0.38,17514479385.60,17514479385.60,14.58,0.78
17,SHSE.600023,浙能电力,3.49,3.49,3.50,3.42,3.44,-1.43,2.29,13998955,48297260.65,2022-05-17,0.10,46786373558.72,46786373558.72,-36.52,0.73
18,SHSE.600025,华能水电,6.84,6.80,6.81,6.64,6.74,-1.46,2.49,43462546,291850572.77,2022-05-17,0.24,121320000000.00,121320000000.00,20.29,2.33
19,SHSE.600026,中远海能,8.61,8.58,9.19,8.31,8.91,3.48,10.22,62472189,548591026.70,2022-05-17,2.18,25526906650.08,42435584695.35,-8.02,1.48
20,SHSE.600027,华电国际,3.82,3.80,3.83,3.67,3.68,-3.66,4.19,86366520,321291806.67,2022-05-17,1.06,29976334435.04,36321078231.20,-6.50,0.92
21,SHSE.600028,中国石化,4.33,4.34,4.38,4.33,4.35,0.46,1.15,133536603,581633920.55,2022-05-17,0.14,415676304050.10,526659761960.10,6.96,0.66
22,SHSE.600029,南方航空,6.00,5.95,6.05,5.80,6.02,0.33,4.17,47471793,281338801.20,2022-05-17,0.46,61523697044.60,102029744466.72,-8.10,1.62
23,SHSE.600030,中信证券,19.07,19.14,19.45,19.00,19.32,1.31,2.36,60007350,1154783361.89,2022-05-17,0.53,219604322225.40,286332964736.28,12.36,1.24
24,SHSE.600031,三一重工,16.24,16.20,16.39,15.97,16.33,0.55,2.59,85611170,1386054318.73,2022-05-17,1.01,138695360722.93,138695360722.93,17.15,2.13
25,SHSE.600032,浙江新能,12.33,12.39,12.40,12.03,12.37,0.32,3.00,9553200,116639200.00,2022-05-17,4.59,2572960000.00,25729600000.00,41.20,3.17
26,SHSE.600033,福建高速,2.82,2.82,2.83,2.79,2.80,-0.71,1.42,6711400,18817632.00,2022-05-17,0.24,7684320000.00,7684320000.00,9.34,0.71
27,SHSE.600035,楚天高速,3.36,3.35,3.37,3.28,3.32,-1.19,2.68,16339980,54094185.18,2022-05-17,1.01,5345584791.32,5345584791.32,7.24,0.74
28,SHSE.600036,招商银行,36.89,37.36,38.63,37.36,38.60,4.64,3.44,118395443,4517008501.39,2022-05-17,0.57,796277254959.40,973486040198.60,7.86,1.27
29,SHSE.600037,歌华有线,9.77,9.72,9.76,9.23,9.25,-5.32,5.42,63894850,599431553.80,2022-05-17,4.59,12873945427.00,12873945427.00,40.85,1.00
30,SHSE.600038,中直股份,40.40,40.39,40.94,39.80,40.24,-0.40,2.82,9797351,394463948.54,2022-05-17,1.66,23720543051.84,23720543051.84,31.19,2.46
31,SHSE.600039,四川路桥,10.16,10.16,10.33,9.98,10.32,1.57,3.44,21772881,221237959.74,2022-05-17,0.60,37642686175.20,49277730534.48,8.28,1.71
