,symbol
319,SHSE.600387
320,SHSE.600388
321,SHSE.600389
322,SHSE.600390
323,SHSE.600391
324,SHSE.600392
325,SHSE.600393
326,SHSE.600395
327,SHSE.600396
328,SHSE.600397
329,SHSE.600398
330,SHSE.600399
331,SHSE.600400
332,SHSE.600403
333,SHSE.600405
334,SHSE.600406
335,SHSE.600408
336,SHSE.600409
337,SHSE.600410
338,SHSE.600415
339,SHSE.600416
340,SHSE.600418
341,SHSE.600419
342,SHSE.600420
343,SHSE.600421
344,SHSE.600422
345,SHSE.600423
346,SHSE.600425
347,SHSE.600426
348,SHSE.600428
349,SHSE.600429
350,SHSE.600433
351,SHSE.600435
352,SHSE.600436
353,SHSE.600438
354,SHSE.600439
355,SHSE.600444
356,SHSE.600446
357,SHSE.600448
358,SHSE.600449
359,SHSE.600452
360,SHSE.600455
361,SHSE.600456
362,SHSE.600458
363,SHSE.600459
364,SHSE.600460
365,SHSE.600461
366,SHSE.600462
367,SHSE.600463
368,SHSE.600466
369,SHSE.600467
370,SHSE.600468
371,SHSE.600469
372,SHSE.600470
373,SHSE.600475
374,SHSE.600476
375,SHSE.600477
376,SHSE.600478
377,SHSE.600479
378,SHSE.600480
379,SHSE.600481
380,SHSE.600482
381,SHSE.600483
382,SHSE.600486
383,SHSE.600487
384,SHSE.600488
385,SHSE.600489
386,SHSE.600490
387,SHSE.600491
388,SHSE.600493
389,SHSE.600495
390,SHSE.600496
391,SHSE.600497
392,SHSE.600498
393,SHSE.600499
394,SHSE.600500
395,SHSE.600501
396,SHSE.600502
397,SHSE.600503
398,SHSE.600505
399,SHSE.600506
400,SHSE.600507
401,SHSE.600508
402,SHSE.600509
403,SHSE.600510
404,SHSE.600511
405,SHSE.600512
406,SHSE.600513
407,SHSE.600515
408,SHSE.600516
409,SHSE.600517
410,SHSE.600518
411,SHSE.600519
412,SHSE.600520
413,SHSE.600521
414,SHSE.600522
415,SHSE.600523
416,SHSE.600525
417,SHSE.600526
418,SHSE.600527
419,SHSE.600528
420,SHSE.600529
421,SHSE.600530
422,SHSE.600531
423,SHSE.600532
424,SHSE.600533
425,SHSE.600535
426,SHSE.600536
427,SHSE.600537
428,SHSE.600538
